timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-05-01,9.85000000,11.02000000,9.66000000,10.73000000,354031.95000000,1651449599999,3624892.76910000,1918,172105.05000000,1766098.19990000,0
2022-05-02,10.72000000,10.95000000,10.11000000,10.73000000,175467.25000000,1651535999999,1850319.46450000,1398,89591.06000000,943539.33730000,0
2022-05-03,10.71000000,11.68000000,10.44000000,10.64000000,142751.33000000,1651622399999,1557056.32870000,1548,62428.11000000,681374.65970000,0
2022-05-04,10.64000000,12.15000000,10.57000000,12.01000000,116669.93000000,1651708799999,1309133.46980000,1644,74243.93000000,833507.51690000,0
2022-05-05,12.03000000,12.12000000,10.41000000,10.76000000,163922.38000000,1651795199999,1836434.86260000,1795,78860.52000000,886486.59140000,0
2022-05-06,10.73000000,10.85000000,10.10000000,10.52000000,123708.60000000,1651881599999,1296294.96920000,1246,56981.94000000,596687.69260000,0
2022-05-07,10.53000000,10.56000000,9.65000000,9.94000000,69936.00000000,1651967999999,719134.44490000,1029,27250.33000000,280413.07840000,0
2022-05-08,9.96000000,10.51000000,9.68000000,10.26000000,44250.44000000,1652054399999,451067.85430000,920,22426.61000000,229334.23040000,0
2022-05-09,10.29000000,10.44000000,8.76000000,8.86000000,116624.24000000,1652140799999,1119460.41030000,1400,50920.75000000,487076.65940000,0
2022-05-10,8.86000000,10.05000000,8.54000000,8.91000000,190911.29000000,1652227199999,1743493.02280000,1484,111624.34000000,1015142.03990000,0
2022-05-11,9.00000000,9.29000000,5.77000000,6.85000000,341694.90000000,1652313599999,2694778.07380000,2470,192866.72000000,1522781.63770000,0
2022-05-12,6.85000000,7.40000000,5.00000000,5.76000000,136048.10000000,1652399999999,821824.22350000,1324,74305.32000000,450896.69080000,0
2022-05-13,5.76000000,7.99000000,5.71000000,6.48000000,209782.60000000,1652486399999,1460053.52450000,1184,125744.32000000,874165.22390000,0
2022-05-14,6.48000000,7.77000000,6.15000000,7.32000000,216249.00000000,1652572799999,1458100.92560000,952,151315.09000000,1021455.35790000,0
2022-05-15,7.25000000,7.43000000,6.69000000,7.43000000,315451.91000000,1652659199999,2202344.94490000,1497,189656.87000000,1329571.56820000,0
2022-05-16,7.40000000,7.40000000,6.56000000,6.69000000,233934.88000000,1652745599999,1577074.83270000,1278,122406.70000000,824014.99640000,0
2022-05-17,6.71000000,7.01000000,6.43000000,6.82000000,176271.45000000,1652831999999,1183976.36140000,1052,87733.07000000,590923.36470000,0
2022-05-18,6.79000000,6.90000000,5.91000000,5.95000000,189609.74000000,1652918399999,1196943.80610000,1086,117166.38000000,740203.85610000,0
2022-05-19,6.06000000,6.63000000,5.71000000,6.42000000,255025.55000000,1653004799999,1532401.87290000,1520,147581.32000000,888686.15750000,0
2022-05-20,6.44000000,6.85000000,5.99000000,6.25000000,245377.03000000,1653091199999,1576149.69530000,1818,128502.31000000,827089.00510000,0
2022-05-21,6.30000000,6.62000000,6.13000000,6.53000000,167399.24000000,1653177599999,1072560.17750000,1265,101833.77000000,653385.00430000,0
2022-05-22,6.53000000,6.86000000,6.45000000,6.82000000,234129.48000000,1653263999999,1556939.54330000,1612,135666.55000000,902683.50050000,0
2022-05-23,6.75000000,7.13000000,6.18000000,6.30000000,259066.60000000,1653350399999,1721127.40240000,1911,152518.60000000,1012245.38720000,0
2022-05-24,6.30000000,6.44000000,5.89000000,6.32000000,182263.23000000,1653436799999,1118881.80710000,1317,93202.82000000,573740.94950000,0
2022-05-25,6.37000000,6.89000000,5.98000000,6.75000000,186614.21000000,1653523199999,1197976.05830000,1490,107837.49000000,697265.52250000,0
2022-05-26,6.72000000,7.33000000,6.06000000,6.56000000,1508990.13000000,1653609599999,10217303.68790000,4659,755230.31000000,5156155.43760000,0
2022-05-27,6.56000000,6.64000000,5.98000000,6.14000000,478956.80000000,1653695999999,2989363.36410000,3631,211637.68000000,1322035.21460000,0
2022-05-28,6.14000000,6.34000000,6.04000000,6.22000000,179740.90000000,1653782399999,1115749.18970000,1476,87344.96000000,542929.09400000,0
2022-05-29,6.22000000,6.26000000,6.01000000,6.26000000,154180.98000000,1653868799999,944387.59570000,1362,70112.89000000,430065.50970000,0
2022-05-30,6.26000000,7.02000000,6.18000000,6.89000000,328247.18000000,1653955199999,2162667.37860000,2403,175229.60000000,1155302.24880000,0
2022-05-31,6.87000000,7.28000000,6.53000000,6.92000000,318858.31000000,1654041599999,2208267.54490000,2660,168574.07000000,1168152.61050000,0
