timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-01,3.35200000,3.48700000,3.24200000,3.45300000,15988.00000000,1704153599999,53924.11320000,230,6807.50000000,22951.41870000,0
2024-01-02,3.43300000,3.94000000,3.40900000,3.58800000,51529.30000000,1704239999999,189929.36140000,749,25969.20000000,95535.75570000,0
2024-01-03,3.60400000,3.72300000,2.75000000,3.47200000,81443.60000000,1704326399999,268976.20300000,1098,46858.40000000,153242.48600000,0
2024-01-04,3.46200000,3.70000000,3.29000000,3.58200000,32249.50000000,1704412799999,113188.08310000,473,17061.90000000,59911.91520000,0
2024-01-05,3.59100000,3.59500000,3.17700000,3.24300000,44728.90000000,1704499199999,148658.61260000,620,20252.20000000,67452.09500000,0
2024-01-06,3.25700000,3.39900000,2.91700000,3.18900000,23154.50000000,1704585599999,72811.61700000,400,11073.60000000,34668.05030000,0
2024-01-07,3.17600000,3.24400000,2.90000000,2.93300000,14617.00000000,1704671999999,45057.60660000,259,7142.40000000,21921.54080000,0
2024-01-08,2.96400000,3.18300000,2.68700000,3.11800000,59023.00000000,1704758399999,169639.51750000,826,22743.60000000,65666.75250000,0
2024-01-09,3.12200000,3.24000000,2.78400000,2.92600000,60666.80000000,1704844799999,183478.13130000,663,29376.40000000,88429.39260000,0
2024-01-10,2.95000000,3.36800000,2.86100000,3.28500000,31722.70000000,1704931199999,96232.66640000,424,12971.40000000,39393.28440000,0
2024-01-11,3.26300000,3.50700000,3.20100000,3.29600000,60509.80000000,1705017599999,200649.04650000,684,27283.50000000,90161.12730000,0
2024-01-12,3.31200000,3.35300000,3.02800000,3.15700000,36186.60000000,1705103999999,117294.62290000,419,11040.40000000,35859.44230000,0
2024-01-13,3.17000000,3.21000000,3.05400000,3.12000000,10298.30000000,1705190399999,32165.45420000,150,4225.20000000,13241.31180000,0
2024-01-14,3.11200000,3.22800000,3.04100000,3.04100000,12758.50000000,1705276799999,40128.36240000,164,3540.70000000,11180.33180000,0
2024-01-15,3.03200000,3.11800000,2.96900000,3.01900000,27097.90000000,1705363199999,82376.27050000,285,15569.40000000,47285.17440000,0
2024-01-16,3.02500000,3.05800000,2.93300000,2.96900000,39304.60000000,1705449599999,118030.91310000,535,11762.20000000,35365.96650000,0
2024-01-17,2.98700000,3.10000000,2.91100000,3.03200000,13380.60000000,1705535999999,40690.60250000,169,4506.70000000,13728.91620000,0
2024-01-18,3.04000000,3.09900000,2.75900000,2.83000000,42933.50000000,1705622399999,124652.35680000,515,11080.40000000,32181.70320000,0
2024-01-19,2.84400000,2.84400000,2.57100000,2.75900000,28267.00000000,1705708799999,76244.46830000,385,7360.20000000,19974.38620000,0
2024-01-20,2.73500000,2.73500000,2.64000000,2.71000000,13194.00000000,1705795199999,35795.60840000,158,6008.60000000,16301.95240000,0
2024-01-21,2.71500000,2.79400000,2.68600000,2.68600000,13212.30000000,1705881599999,36152.22200000,152,5731.90000000,15737.83880000,0
2024-01-22,2.68900000,2.68900000,2.39500000,2.43100000,34930.50000000,1705967999999,87857.34360000,449,10587.60000000,26761.36430000,0
2024-01-23,2.45000000,2.49900000,2.26000000,2.44300000,43249.30000000,1706054399999,102240.17360000,451,13995.60000000,33140.05940000,0
2024-01-24,2.44500000,2.46900000,2.33700000,2.46900000,52367.70000000,1706140799999,125428.69620000,535,12580.10000000,30201.49930000,0
2024-01-25,2.48100000,2.53000000,2.41100000,2.48800000,44161.20000000,1706227199999,108640.34240000,421,21188.40000000,52019.26690000,0
2024-01-26,2.47100000,2.75800000,2.45300000,2.69400000,53032.30000000,1706313599999,139266.02290000,622,21846.80000000,56986.10490000,0
2024-01-27,2.69100000,2.72900000,2.60800000,2.67900000,25367.10000000,1706399999999,68133.86550000,343,12045.10000000,32305.80450000,0
2024-01-28,2.68900000,2.82600000,2.65400000,2.66400000,44934.40000000,1706486399999,124054.20730000,670,22215.10000000,61422.39540000,0
2024-01-29,2.65500000,2.82600000,2.64300000,2.78600000,15478.60000000,1706572799999,42452.61570000,185,7439.30000000,20400.52590000,0
2024-01-30,2.75400000,2.98000000,2.73600000,2.77200000,31384.90000000,1706659199999,90157.40250000,507,14985.80000000,43145.80750000,0
2024-01-31,2.79800000,2.79900000,2.57100000,2.61200000,53744.40000000,1706745599999,144416.55470000,535,16384.00000000,43814.40300000,0
