timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-03-01,911.00000000,999.00000000,895.00000000,971.00000000,1139.07600000,1677715199999,1096828.72600000,235,574.80400000,551833.41800000,0
2023-03-02,966.00000000,966.00000000,915.00000000,939.00000000,703.18300000,1677801599999,659408.47100000,203,394.21100000,371883.91100000,0
2023-03-03,949.00000000,952.00000000,852.00000000,893.00000000,987.34100000,1677887999999,887311.64100000,232,483.33100000,431767.71100000,0
2023-03-04,897.00000000,961.00000000,876.00000000,921.00000000,1717.49100000,1677974399999,1586230.45100000,309,807.80600000,748314.51700000,0
2023-03-05,909.00000000,961.00000000,909.00000000,939.00000000,282.47300000,1678060799999,266789.14700000,113,148.83100000,141277.96000000,0
2023-03-06,926.00000000,926.00000000,888.00000000,908.00000000,505.98000000,1678147199999,459308.16500000,115,254.83900000,232376.17500000,0
2023-03-07,909.00000000,954.00000000,871.00000000,893.00000000,971.35100000,1678233599999,873030.87200000,235,351.61900000,319022.11500000,0
2023-03-08,885.00000000,885.00000000,806.00000000,815.00000000,659.99400000,1678319999999,552065.54900000,171,327.59400000,273525.58200000,0
2023-03-09,813.00000000,850.00000000,753.00000000,770.00000000,552.24900000,1678406399999,447876.12200000,193,176.28200000,143985.50800000,0
2023-03-10,763.00000000,770.00000000,709.00000000,765.00000000,550.64900000,1678492799999,408924.71600000,200,250.37000000,186443.74200000,0
2023-03-11,758.00000000,789.00000000,712.00000000,742.00000000,370.30900000,1678579199999,275584.50200000,157,138.54700000,103858.23400000,0
2023-03-12,729.00000000,796.00000000,717.00000000,796.00000000,483.78500000,1678665599999,362272.77400000,189,281.92600000,213362.66700000,0
2023-03-13,796.00000000,853.00000000,777.00000000,833.00000000,845.14500000,1678751999999,689174.13500000,322,394.76800000,323375.14800000,0
2023-03-14,832.00000000,926.00000000,812.00000000,876.00000000,1507.62000000,1678838399999,1316093.83600000,360,935.94600000,816588.51500000,0
2023-03-15,882.00000000,905.00000000,791.00000000,802.00000000,1778.08100000,1678924799999,1469211.70500000,345,791.91000000,656739.65300000,0
2023-03-16,795.00000000,843.00000000,778.00000000,843.00000000,651.51200000,1679011199999,528117.58800000,292,305.09500000,247699.80900000,0
2023-03-17,843.00000000,978.00000000,840.00000000,978.00000000,1953.99500000,1679097599999,1785169.78700000,579,1095.58600000,1002270.39200000,0
2023-03-18,972.00000000,1002.00000000,902.00000000,912.00000000,1056.52900000,1679183999999,1009868.32400000,374,516.00900000,498690.56000000,0
2023-03-19,926.00000000,1057.00000000,910.00000000,1036.00000000,3681.93500000,1679270399999,3706934.01700000,530,1984.77100000,1995439.00900000,0
2023-03-20,1035.00000000,1068.00000000,952.00000000,960.00000000,2016.88800000,1679356799999,2044337.82900000,329,811.55800000,826151.71900000,0
2023-03-21,958.00000000,981.00000000,924.00000000,970.00000000,652.07100000,1679443199999,621495.70300000,189,330.57200000,316341.50500000,0
2023-03-22,961.00000000,961.00000000,876.00000000,909.00000000,631.94500000,1679529599999,588120.06900000,254,207.34400000,193887.66700000,0
2023-03-23,913.00000000,974.00000000,912.00000000,974.00000000,542.66800000,1679615999999,513292.83600000,253,326.73300000,310700.83100000,0
2023-03-24,974.00000000,1044.00000000,948.00000000,961.00000000,521.81200000,1679702399999,519409.34700000,293,333.06500000,332049.88700000,0
2023-03-25,965.00000000,978.00000000,918.00000000,941.00000000,549.48400000,1679788799999,521100.28200000,196,292.96200000,280101.29600000,0
2023-03-26,935.00000000,974.00000000,902.00000000,965.00000000,3182.40000000,1679875199999,3007291.50500000,308,1639.62400000,1564645.51200000,0
2023-03-27,957.00000000,1025.00000000,930.00000000,988.00000000,1338.47900000,1679961599999,1306274.05600000,332,939.11400000,924362.64400000,0
2023-03-28,994.00000000,1003.00000000,937.00000000,990.00000000,1051.88300000,1680047999999,1019427.27900000,302,522.13800000,510479.65900000,0
2023-03-29,988.00000000,1036.00000000,978.00000000,1032.00000000,208.01300000,1680134399999,209059.93700000,223,160.33500000,161120.68600000,0
2023-03-30,1026.00000000,1026.00000000,947.00000000,979.00000000,246.88400000,1680220799999,245183.11300000,187,47.43800000,47005.65900000,0
2023-03-31,973.00000000,988.00000000,939.00000000,988.00000000,338.19400000,1680307199999,326325.89400000,158,105.99000000,103775.29700000,0
