timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-01,0.00827400,0.00858700,0.00758000,0.00829300,15225783229.00,1714607999999,122806252.73398600,25924,7330494261.00,59195144.45809100,0
2024-05-02,0.00828600,0.00862000,0.00793900,0.00839600,10914502841.00,1714694399999,91154978.03567800,19318,5472968554.00,45759234.27650400,0
2024-05-03,0.00840600,0.00948000,0.00827000,0.00914200,15086379819.00,1714780799999,134660629.70310400,27817,7807956198.00,69697028.86978900,0
2024-05-04,0.00914200,0.00943000,0.00902800,0.00913500,11752420390.00,1714867199999,108192788.07569100,21010,5870162265.00,54064366.83353100,0
2024-05-05,0.00913500,0.00925200,0.00878100,0.00891600,8866440371.00,1714953599999,79270121.24130300,17337,4092503667.00,36606474.89188600,0
2024-05-06,0.00891200,0.00964600,0.00878200,0.00880000,12590864234.00,1715039999999,115879878.80193700,26710,6782316902.00,62609346.88485500,0
2024-05-07,0.00880000,0.00936900,0.00852100,0.00855900,9535092308.00,1715126399999,85153854.51376100,19392,5043104737.00,45063943.99144800,0
2024-05-08,0.00854800,0.00885000,0.00830000,0.00848200,8454161078.00,1715212799999,72132513.28363100,19203,3990955138.00,34111561.85616300,0
2024-05-09,0.00847200,0.00891800,0.00823800,0.00879400,7214540843.00,1715299199999,61817792.36169200,16016,3452191501.00,29619964.67613200,0
2024-05-10,0.00878200,0.00891300,0.00814400,0.00824300,7196870046.00,1715385599999,61110592.01301400,17559,3152571266.00,26934210.45283300,0
2024-05-11,0.00823700,0.00893200,0.00815800,0.00843400,11963408503.00,1715471999999,102664120.39377800,23021,6259814815.00,53718890.01778900,0
2024-05-12,0.00844900,0.00859900,0.00829400,0.00839600,5467632606.00,1715558399999,46180979.86624100,10493,2635893054.00,22255880.07762100,0
2024-05-13,0.00838700,0.00868600,0.00777500,0.00834600,10959069065.00,1715644799999,91114791.84931700,18874,5670425654.00,47276090.24974700,0
2024-05-14,0.00834600,0.00903200,0.00820000,0.00842800,22100065910.00,1715731199999,191169522.93301300,41541,11641451866.00,100778337.17935500,0
2024-05-15,0.00844000,0.00918300,0.00830300,0.00906100,14609016266.00,1715817599999,128010520.14978800,31993,7715381396.00,67763196.71488200,0
2024-05-16,0.00906200,0.00933500,0.00839800,0.00870900,8713889959.00,1715903999999,77239300.22474900,24810,4191050582.00,37236103.54426600,0
2024-05-17,0.00870700,0.01018000,0.00848500,0.00925000,17577149790.00,1715990399999,165700494.96458200,43877,9447567975.00,88948719.99210300,0
2024-05-18,0.00925000,0.01019200,0.00911800,0.00950400,26505298851.00,1716076799999,257434869.33578500,60632,13814006166.00,134271188.91707100,0
2024-05-19,0.00950200,0.00996300,0.00907200,0.00918300,9081286585.00,1716163199999,85710369.06023900,22933,4626027275.00,43689487.09595400,0
2024-05-20,0.00918300,0.00972300,0.00882800,0.00967000,11819870240.00,1716249599999,110243248.62713200,31533,5793785112.00,54133307.78006500,0
2024-05-21,0.00965500,0.01012100,0.00946000,0.01012100,15271119788.00,1716335999999,148831401.33227500,34538,8404148976.00,81981515.96211200,0
2024-05-22,0.01012000,0.01034700,0.00947600,0.00983400,10451323337.00,1716422399999,103002441.13724100,25946,5125992792.00,50564028.04042000,0
2024-05-23,0.00985700,0.00989600,0.00858600,0.00919200,11209711706.00,1716508799999,103765699.35481100,32350,4661043511.00,43054832.49167300,0
2024-05-24,0.00918600,0.00942400,0.00880000,0.00931600,6849521677.00,1716595199999,62857752.56036300,18552,3618415644.00,33252945.96231500,0
2024-05-25,0.00933500,0.00990000,0.00928800,0.00945500,9013482054.00,1716681599999,86482734.41125400,25045,5071781217.00,48694984.78731500,0
2024-05-26,0.00944400,0.00992000,0.00915000,0.00953500,10721267749.00,1716767999999,101511408.04108100,31728,5088481785.00,48391033.90645000,0
2024-05-27,0.00955800,0.01036300,0.00931900,0.01017300,20190327525.00,1716854399999,199617539.68788500,55125,11254517749.00,111224529.68205300,0
2024-05-28,0.01016200,0.01066600,0.00966200,0.01010900,14400161333.00,1716940799999,144661691.24657400,30101,7670637700.00,77133777.51376900,0
2024-05-29,0.01011700,0.01085500,0.00983000,0.00987700,9468390344.00,1717027199999,97494233.18509000,23682,4683138995.00,48230619.04698700,0
2024-05-30,0.00993700,0.01162600,0.00976400,0.01129800,29119487831.00,1717113599999,317671641.49344600,67423,15957934035.00,173988767.22415900,0
2024-05-31,0.01127900,0.01166600,0.01041000,0.01057400,10114590003.00,1717199999999,111108141.01866100,30498,4966269858.00,54724436.18828000,0
