timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-13,0.77100000,18.96200000,0.77100000,14.48000000,101423126.70000000,1715644799999,1476093508.59160000,201869,50732324.70000000,738292388.72130000,0
2024-05-14,14.49800000,15.42800000,11.51200000,11.98900000,42988328.30000000,1715731199999,564082490.16390000,67648,21519890.00000000,282828949.12370000,0
2024-05-15,11.99300000,14.17600000,11.15300000,13.56800000,33789632.90000000,1715817599999,420633813.18300000,51275,17586385.00000000,219252288.40890000,0
2024-05-16,13.57400000,13.57400000,10.21100000,10.60500000,27446087.30000000,1715903999999,311972673.00750000,38510,13292298.30000000,151441289.79370000,0
2024-05-17,10.61200000,11.44700000,10.06700000,10.93500000,18390620.50000000,1715990399999,199651877.66680000,23077,9270315.50000000,100693756.58990000,0
2024-05-18,10.96900000,12.15000000,10.21800000,11.38100000,16744465.20000000,1716076799999,189165062.43420000,19678,8672534.10000000,98032044.22640000,0
2024-05-19,11.38800000,11.68900000,10.04800000,10.26200000,9277656.60000000,1716163199999,99192977.46060000,12419,4371329.40000000,46884935.14070000,0
2024-05-20,10.26200000,11.62300000,9.80000000,11.31000000,12745805.60000000,1716249599999,137096436.24750000,18178,6920417.50000000,74568106.99460000,0
2024-05-21,11.32000000,11.70000000,10.60000000,10.90000000,8481671.20000000,1716335999999,93068563.52700000,14252,4075166.10000000,44744373.71040000,0
2024-05-22,10.92700000,12.62500000,10.02200000,11.97300000,20024431.80000000,1716422399999,226223445.46550000,36365,10162138.30000000,115036338.25440000,0
2024-05-23,11.96100000,12.47700000,11.00000000,12.02500000,11904390.10000000,1716508799999,139746745.10210000,23975,6151205.80000000,72208217.18730000,0
2024-05-24,11.99400000,12.65100000,10.32000000,12.31100000,8939257.20000000,1716595199999,101606095.83640000,14984,4473184.80000000,51176823.66020000,0
2024-05-25,12.32200000,17.83700000,11.78200000,17.33100000,44260967.00000000,1716681599999,685612757.67330000,82485,23041416.90000000,357146168.12030000,0
2024-05-26,17.32200000,23.75000000,16.38000000,23.16500000,54375299.30000000,1716767999999,1102886099.15540000,116493,27835956.30000000,564536096.16680000,0
2024-05-27,23.15200000,25.27300000,20.78500000,21.68200000,30787841.40000000,1716854399999,687739283.81260000,85105,15750183.80000000,352067758.66510000,0
2024-05-28,21.74700000,22.09500000,19.14700000,21.40400000,18753497.80000000,1716940799999,384813421.33340000,49587,9238747.60000000,189780175.40880000,0
2024-05-29,21.42300000,23.39400000,18.61200000,19.52800000,12939826.70000000,1717027199999,263974754.61080000,34832,6210858.60000000,126904517.28110000,0
2024-05-30,19.53900000,21.85000000,18.15400000,20.07100000,19093405.40000000,1717113599999,384036121.26660000,46703,9643505.60000000,194035360.70130000,0
2024-05-31,20.07200000,23.03400000,19.11700000,19.80600000,19157054.70000000,1717199999999,398067161.07040000,45197,9405793.70000000,196073810.28640000,0
