timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-12-01,0.00001337,0.00001390,0.00001321,0.00001366,265526852936.0,1701475199999,3614690.97127156,1331,118707082141.0,1616861.30186965,0
2023-12-02,0.00001374,0.00001390,0.00001357,0.00001383,201522292859.0,1701561599999,2772399.19985865,1210,96201721319.0,1326819.94673658,0
2023-12-03,0.00001384,0.00001435,0.00001380,0.00001431,367442560690.0,1701647999999,5173601.47569446,2359,184955226193.0,2603815.16202398,0
2023-12-04,0.00001432,0.00001466,0.00001396,0.00001437,418531695908.0,1701734399999,5999783.44383732,2503,188373996168.0,2707967.94013816,0
2023-12-05,0.00001437,0.00001484,0.00001413,0.00001473,639985038022.0,1701820799999,9263909.80877106,2687,330081219971.0,4774589.53679939,0
2023-12-06,0.00001473,0.00003317,0.00001458,0.00002572,32110314397859.0,1701907199999,860977481.68279809,95272,16251678231915.0,436820199.52476776,0
2023-12-07,0.00002571,0.00002749,0.00002161,0.00002208,8690429758436.0,1701993599999,203618991.20796104,28023,4243495563447.0,99393439.58281901,0
2023-12-08,0.00002208,0.00003279,0.00002206,0.00003028,20608757321782.0,1702079999999,608032126.24196407,70047,10347482688527.0,305272576.91799455,0
2023-12-09,0.00003028,0.00003100,0.00002759,0.00002931,4374161839540.0,1702166399999,126722517.88812170,17362,2192115739870.0,63539094.07099895,0
2023-12-10,0.00002929,0.00004558,0.00002916,0.00003881,25297439427450.0,1702252799999,957218043.41602173,103241,12552514675661.0,473824519.29011850,0
2023-12-11,0.00003883,0.00004863,0.00003569,0.00004039,20207328378685.0,1702339199999,841146281.41065147,82296,9659708136299.0,402471581.23433097,0
2023-12-12,0.00004034,0.00004498,0.00003775,0.00003990,8449202699946.0,1702425599999,343614330.43958434,39267,4230171897508.0,172164659.59826217,0
2023-12-13,0.00003990,0.00004048,0.00003602,0.00003896,3910145749218.0,1702511999999,148231176.85445585,18464,1852545514615.0,70220062.99963170,0
2023-12-14,0.00003896,0.00003896,0.00003600,0.00003675,4030024879582.0,1702598399999,150824993.44454037,21314,1817508383574.0,68125020.48870589,0
2023-12-15,0.00003675,0.00003783,0.00003356,0.00003373,5235535512531.0,1702684799999,181336374.20467443,22875,2512387243381.0,87058667.91201626,0
2023-12-16,0.00003376,0.00004140,0.00003373,0.00003662,12425829010182.0,1702771199999,471306595.39644391,51032,6257720555849.0,237622428.01133287,0
2023-12-17,0.00003663,0.00003696,0.00003453,0.00003492,2295053346219.0,1702857599999,81176298.74976823,10117,1074054142951.0,38004710.54516680,0
2023-12-18,0.00003492,0.00003530,0.00003128,0.00003506,2135349797229.0,1702943999999,71246494.99827922,9630,1039602509356.0,34744968.67236769,0
2023-12-19,0.00003526,0.00003748,0.00003260,0.00003339,2539829173452.0,1703030399999,87802050.52536748,10428,1243474668767.0,43033723.28063723,0
2023-12-20,0.00003337,0.00003440,0.00003279,0.00003376,1878718485493.0,1703116799999,63135152.15612445,8004,901626014622.0,30287394.30611962,0
2023-12-21,0.00003376,0.00003396,0.00003286,0.00003357,1448379587684.0,1703203199999,48265958.63794429,6776,657220433526.0,21911438.27207744,0
2023-12-22,0.00003357,0.00003508,0.00003280,0.00003390,1973497083824.0,1703289599999,66608280.14095684,8708,982502637244.0,33150282.24072945,0
2023-12-23,0.00003395,0.00003405,0.00003276,0.00003307,965308846959.0,1703375999999,32192296.53475289,5010,457513332724.0,15256286.08617571,0
2023-12-24,0.00003306,0.00003750,0.00003285,0.00003514,3463593535065.0,1703462399999,121980166.29802485,14296,1828122768681.0,64444436.67574741,0
2023-12-25,0.00003513,0.00003751,0.00003474,0.00003618,1880548592151.0,1703548799999,67250960.99525468,8537,969549712619.0,34637950.68144936,0
2023-12-26,0.00003622,0.00003710,0.00003371,0.00003441,1310415002352.0,1703635199999,46673888.27528624,6594,675611973993.0,24099016.92554111,0
2023-12-27,0.00003441,0.00003517,0.00003364,0.00003451,729888798879.0,1703721599999,25066612.69300831,4387,333622181312.0,11465709.62652702,0
2023-12-28,0.00003451,0.00004394,0.00003451,0.00003638,6306473723008.0,1703807999999,238052773.57786772,26959,3016498044834.0,113924059.40543653,0
2023-12-29,0.00003627,0.00003726,0.00003525,0.00003593,2086741658963.0,1703894399999,75182667.92977918,9046,1008976945166.0,36343288.85367184,0
2023-12-30,0.00003595,0.00003653,0.00003535,0.00003646,763643846437.0,1703980799999,27345361.86794477,4267,393564702562.0,14103124.07459605,0
2023-12-31,0.00003644,0.00003646,0.00003551,0.00003582,639339665647.0,1704067199999,22941469.74141962,4119,330705540632.0,11861708.00917874,0
