timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-06-01,384.40000000,384.90000000,378.40000000,380.60000000,236.22900000,1685663999999,89928.63620000,114,73.20500000,27839.66020000,0
2023-06-02,379.40000000,389.00000000,379.40000000,389.00000000,760.84900000,1685750399999,293918.86730000,227,526.46700000,203612.73820000,0
2023-06-03,387.40000000,390.10000000,381.70000000,384.60000000,383.59300000,1685836799999,148178.46420000,111,124.69900000,48198.86230000,0
2023-06-04,385.00000000,387.60000000,379.60000000,384.30000000,1004.52300000,1685923199999,386608.22440000,154,377.65900000,145190.13290000,0
2023-06-05,382.10000000,385.50000000,360.00000000,367.70000000,1079.30800000,1686009599999,404241.49930000,251,597.69300000,224829.83440000,0
2023-06-06,366.10000000,388.50000000,366.10000000,388.50000000,669.26700000,1686095999999,253468.79700000,294,386.59200000,146641.77810000,0
2023-06-07,387.20000000,402.50000000,383.70000000,402.40000000,1786.87600000,1686182399999,706095.30380000,448,1152.31300000,455267.96170000,0
2023-06-08,401.70000000,403.50000000,390.70000000,401.70000000,1432.79700000,1686268799999,574112.60240000,368,506.31900000,202562.94870000,0
2023-06-09,401.00000000,403.50000000,397.00000000,400.70000000,1275.88400000,1686355199999,511040.44550000,251,532.73600000,213920.17830000,0
2023-06-10,399.70000000,405.00000000,305.50000000,362.60000000,8150.23800000,1686441599999,2786496.27960000,2099,5186.68100000,1768834.84130000,0
2023-06-11,362.80000000,368.90000000,358.00000000,364.40000000,905.21800000,1686527999999,328706.25820000,378,491.08600000,178697.55140000,0
2023-06-12,364.00000000,365.60000000,356.10000000,363.20000000,1333.74500000,1686614399999,481683.00830000,1025,599.78200000,216820.38950000,0
2023-06-13,362.80000000,369.20000000,358.80000000,364.60000000,1528.74600000,1686700799999,557294.38090000,891,1015.89800000,370619.38450000,0
2023-06-14,364.70000000,366.30000000,343.30000000,350.70000000,2451.63400000,1686787199999,870503.66720000,1089,739.54300000,263471.98860000,0
2023-06-15,351.00000000,359.40000000,348.60000000,356.50000000,1549.11500000,1686873599999,547959.24570000,431,1126.06600000,398701.30340000,0
2023-06-16,355.60000000,361.90000000,349.50000000,361.00000000,805.93500000,1686959999999,287351.36400000,538,315.34900000,112564.77620000,0
2023-06-17,361.10000000,367.10000000,359.40000000,363.10000000,858.65800000,1687046399999,312375.59630000,353,313.52200000,114032.94310000,0
2023-06-18,361.40000000,367.50000000,356.70000000,360.40000000,585.38000000,1687132799999,213345.31140000,307,323.86000000,117970.40530000,0
2023-06-19,361.20000000,361.30000000,348.40000000,359.10000000,2057.86500000,1687219199999,728599.53680000,560,1276.84900000,451738.57430000,0
2023-06-20,358.80000000,367.00000000,350.80000000,365.60000000,1532.17700000,1687305599999,552180.47290000,347,737.06400000,267876.72860000,0
2023-06-21,364.40000000,391.70000000,364.40000000,386.60000000,3255.56400000,1687391999999,1240271.24980000,581,1128.62000000,429982.49360000,0
2023-06-22,388.30000000,416.80000000,386.20000000,412.40000000,2310.58100000,1687478399999,920221.80880000,764,1335.63000000,534282.76840000,0
2023-06-23,414.80000000,489.50000000,414.50000000,479.80000000,29427.81000000,1687564799999,13821326.80440000,3419,12939.08500000,6068942.84010000,0
2023-06-24,481.00000000,502.60000000,461.60000000,489.80000000,27602.15700000,1687651199999,13368691.92120000,3348,14523.81700000,7033693.46650000,0
2023-06-25,495.00000000,500.00000000,465.00000000,471.40000000,4549.94200000,1687737599999,2163621.73040000,764,1172.56500000,561625.95210000,0
2023-06-26,471.60000000,510.00000000,457.20000000,497.40000000,16359.07700000,1687823999999,8019592.32830000,2232,8242.67000000,4013867.14370000,0
2023-06-27,497.30000000,505.20000000,482.30000000,499.70000000,7988.14700000,1687910399999,3970128.47140000,1685,4648.41900000,2311004.03470000,0
2023-06-28,495.30000000,495.70000000,463.00000000,474.50000000,1945.25300000,1687996799999,939278.85110000,519,589.25500000,284320.64450000,0
2023-06-29,475.60000000,499.70000000,473.80000000,488.80000000,3740.72400000,1688083199999,1833851.00270000,592,1088.68800000,535061.49680000,0
2023-06-30,488.00000000,568.30000000,487.00000000,561.00000000,55463.06500000,1688169599999,29807787.84450000,7952,27193.40900000,14632507.68920000,0
