timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-12-01,8.20600000,8.30300000,7.71500000,8.01200000,12897775.00000000,1701475199999,103050554.43500000,16398,6298531.00000000,50345953.07200000,0
2023-12-02,8.00900000,8.41100000,7.89000000,8.37500000,7851855.00000000,1701561599999,64005434.02100000,10140,4393064.00000000,35863352.37000000,0
2023-12-03,8.37400000,9.04800000,8.26000000,8.63500000,7810794.00000000,1701647999999,68179198.14500000,11189,4003347.00000000,34940701.95600000,0
2023-12-04,8.64400000,8.80700000,7.76100000,8.41100000,3990170.00000000,1701734399999,33486968.21000000,6849,1654756.00000000,13908251.09500000,0
2023-12-05,8.40600000,8.91000000,8.05000000,8.55900000,3137139.00000000,1701820799999,26749101.45300000,6710,1628881.00000000,13920167.33000000,0
2023-12-06,8.56600000,8.64600000,7.80400000,7.90800000,2420409.00000000,1701907199999,19654444.70600000,5040,974738.00000000,7919741.35700000,0
2023-12-07,7.93000000,8.43300000,7.80000000,8.29800000,4702506.00000000,1701993599999,38294972.72000000,8472,2419770.00000000,19761839.61600000,0
2023-12-08,8.30700000,8.64100000,8.19500000,8.62500000,1930176.00000000,1702079999999,16219464.80700000,3441,1091568.00000000,9183007.17600000,0
2023-12-09,8.63700000,8.95600000,8.50500000,8.64300000,1882881.00000000,1702166399999,16496174.63100000,3648,1103962.00000000,9684661.08900000,0
2023-12-10,8.66800000,8.91300000,8.21000000,8.48900000,1718677.00000000,1702252799999,14518361.69300000,2918,738884.00000000,6251610.11600000,0
2023-12-11,8.51000000,8.51100000,7.40100000,7.91500000,2317430.00000000,1702339199999,18239988.31600000,3768,897998.00000000,7068499.90000000,0
2023-12-12,7.93600000,8.35000000,7.79800000,8.28500000,1904637.00000000,1702425599999,15328447.61200000,3022,962391.00000000,7755225.73000000,0
2023-12-13,8.30700000,8.42900000,7.68700000,8.31100000,1756743.00000000,1702511999999,14176606.78300000,3135,902808.00000000,7290369.14300000,0
2023-12-14,8.34700000,8.55000000,7.95800000,8.51700000,1884286.00000000,1702598399999,15672474.78700000,3066,1186844.00000000,9885028.15700000,0
2023-12-15,8.51700000,8.51700000,7.70400000,7.79500000,1593049.00000000,1702684799999,12850616.39700000,3396,787675.00000000,6343710.30000000,0
2023-12-16,7.83000000,8.75800000,7.67400000,8.49900000,2164647.00000000,1702771199999,18018863.19200000,3987,1239771.00000000,10344388.39100000,0
2023-12-17,8.53800000,9.46400000,8.10000000,8.48700000,9561926.00000000,1702857599999,84153020.60400000,14651,4839008.00000000,42490823.79900000,0
2023-12-18,8.49200000,8.62400000,7.56000000,8.15600000,2268854.00000000,1702943999999,18139390.53600000,4222,1008640.00000000,8037261.40200000,0
2023-12-19,8.14400000,9.35000000,8.12400000,8.48200000,5194446.00000000,1703030399999,45241466.05200000,8583,2717610.00000000,23569898.72300000,0
2023-12-20,8.45300000,9.47400000,8.44300000,8.95400000,2958997.00000000,1703116799999,26846191.03500000,5749,1788305.00000000,16254493.77000000,0
2023-12-21,8.92900000,9.05000000,8.48800000,8.89000000,1757111.00000000,1703203199999,15497603.30800000,3823,828999.00000000,7326108.48200000,0
2023-12-22,8.90000000,9.70000000,8.74200000,9.60100000,1953113.00000000,1703289599999,17970051.78700000,3498,1044101.00000000,9615320.67900000,0
2023-12-23,9.63100000,9.84800000,8.97200000,9.28800000,1248417.00000000,1703375999999,11573636.15200000,2646,625895.00000000,5807332.59100000,0
2023-12-24,9.28800000,10.13800000,9.20000000,9.52300000,2303851.00000000,1703462399999,22251395.69700000,4956,1018528.00000000,9852643.79900000,0
2023-12-25,9.53700000,10.27700000,9.41000000,10.12600000,1319177.00000000,1703548799999,12976429.15100000,3297,635224.00000000,6244293.01300000,0
2023-12-26,10.13900000,12.00000000,9.68600000,10.77300000,2930721.00000000,1703635199999,30721847.33600000,7355,1541758.00000000,16165288.77800000,0
2023-12-27,10.80200000,10.80200000,9.96800000,10.14900000,1275083.00000000,1703721599999,13093165.85000000,3472,641877.00000000,6599270.32800000,0
2023-12-28,10.13400000,10.32600000,9.26600000,9.39900000,1073235.00000000,1703807999999,10365698.66100000,3482,418574.00000000,4034722.81200000,0
2023-12-29,9.38200000,9.63300000,9.03300000,9.29900000,914704.00000000,1703894399999,8593326.89200000,3066,364086.00000000,3422846.54600000,0
2023-12-30,9.28700000,9.61500000,9.12700000,9.44200000,688263.00000000,1703980799999,6460893.39700000,2028,399998.00000000,3746535.20000000,0
2023-12-31,9.44200000,9.64600000,8.85200000,9.11900000,767070.00000000,1704067199999,7227873.51200000,2207,359042.00000000,3365546.18200000,0
