timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-01,0.55000000,0.56000000,0.50000000,0.54530000,35078690.00000000,1714607999999,18392988.84860000,6985,17617658.00000000,9269109.29930000,0
2024-05-02,0.54440000,0.55310000,0.51700000,0.54260000,44889142.00000000,1714694399999,24008610.16930000,7115,21575781.00000000,11558477.99930000,0
2024-05-03,0.54260000,0.60350000,0.53700000,0.59440000,95712466.00000000,1714780799999,55402595.35330000,22633,50610983.00000000,29270584.00030000,0
2024-05-04,0.59440000,0.63880000,0.58630000,0.61330000,51209235.00000000,1714867199999,31194119.13870000,13627,27322356.00000000,16624314.05280000,0
2024-05-05,0.61350000,0.66480000,0.59920000,0.64720000,101594614.00000000,1714953599999,64799740.06470000,28034,57634301.00000000,36805566.26640000,0
2024-05-06,0.64770000,0.66210000,0.61460000,0.61790000,41510162.00000000,1715039999999,26442248.15150000,13153,20830530.00000000,13296783.20410000,0
2024-05-07,0.61840000,0.63500000,0.59090000,0.59230000,27486314.00000000,1715126399999,17045724.09570000,7718,14025524.00000000,8711616.81890000,0
2024-05-08,0.59200000,0.59650000,0.56900000,0.57990000,35537600.00000000,1715212799999,20648060.16230000,11550,16689857.00000000,9702424.20690000,0
2024-05-09,0.57970000,0.63000000,0.57360000,0.62710000,37149424.00000000,1715299199999,22388708.70530000,11134,20219769.00000000,12183555.79340000,0
2024-05-10,0.62820000,0.63570000,0.57830000,0.58700000,31403588.00000000,1715385599999,18990152.40420000,9362,15302402.00000000,9250831.79570000,0
2024-05-11,0.58690000,0.60000000,0.58180000,0.58200000,18709036.00000000,1715471999999,11040711.00350000,5400,7780910.00000000,4591610.38570000,0
2024-05-12,0.58230000,0.59500000,0.57260000,0.57940000,16151403.00000000,1715558399999,9444353.39290000,4928,7108727.00000000,4160089.34770000,0
2024-05-13,0.58160000,0.60750000,0.55350000,0.59080000,51186933.00000000,1715644799999,30162680.19850000,11638,25557513.00000000,15069573.98090000,0
2024-05-14,0.59080000,0.62720000,0.56910000,0.57220000,47958286.00000000,1715731199999,28419413.58170000,14291,24716877.00000000,14681147.25180000,0
2024-05-15,0.57310000,0.66200000,0.56560000,0.65050000,91795216.00000000,1715817599999,57301691.70560000,20436,47297105.00000000,29473552.34480000,0
2024-05-16,0.65120000,0.66730000,0.62540000,0.64810000,51084521.00000000,1715903999999,33127685.75040000,16684,30584107.00000000,19857960.20990000,0
2024-05-17,0.64960000,0.69070000,0.62910000,0.65360000,35243572.00000000,1715990399999,23425755.44760000,14221,20068481.00000000,13354224.21540000,0
2024-05-18,0.65340000,0.68000000,0.63170000,0.67000000,34659101.00000000,1716076799999,22789973.92530000,11333,17831329.00000000,11779881.52850000,0
2024-05-19,0.67090000,0.67960000,0.62980000,0.63420000,26697552.00000000,1716163199999,17462236.37950000,9608,12532144.00000000,8224198.12070000,0
2024-05-20,0.63420000,0.67660000,0.62240000,0.66370000,27678857.00000000,1716249599999,18076795.61260000,11696,14603949.00000000,9546381.68120000,0
2024-05-21,0.66350000,0.68000000,0.64010000,0.66200000,66100811.00000000,1716335999999,43508533.86540000,20179,33074524.00000000,21805418.95230000,0
2024-05-22,0.66050000,0.71300000,0.64000000,0.68310000,118561674.00000000,1716422399999,81076846.75030000,27989,61909538.00000000,42282874.99630000,0
2024-05-23,0.68250000,0.71690000,0.63350000,0.66770000,83475320.00000000,1716508799999,57314531.41690000,29161,42174567.00000000,29000680.06500000,0
2024-05-24,0.66730000,0.70970000,0.65690000,0.67630000,30164731.00000000,1716595199999,20550478.84410000,10412,15967312.00000000,10901807.37690000,0
2024-05-25,0.67510000,0.70310000,0.66900000,0.69570000,29453147.00000000,1716681599999,20244613.92000000,12960,16470685.00000000,11330501.83530000,0
2024-05-26,0.69660000,0.81820000,0.69590000,0.81060000,365827505.00000000,1716767999999,278361194.09400000,92613,189503244.00000000,144175113.65690000,0
2024-05-27,0.80880000,0.92750000,0.79070000,0.85810000,403713353.00000000,1716854399999,347337429.15334000,136356,206142513.00000000,177570625.87804000,0
2024-05-28,0.85680000,0.87710000,0.81000000,0.82310000,110547432.00000000,1716940799999,93177343.42090000,44856,56489306.00000000,47727195.35560000,0
2024-05-29,0.82390000,0.87450000,0.77510000,0.81540000,82765781.00000000,1717027199999,68693350.45320000,27783,42487906.00000000,35481233.74490000,0
2024-05-30,0.81620000,1.03170000,0.78500000,0.99610000,419264004.00000000,1717113599999,401173758.28289600,102933,223855681.00000000,213804418.30899600,0
2024-05-31,0.99590000,1.13440000,0.95000000,1.08830000,361917623.00000000,1717199999999,373102521.35690000,130719,182236418.00000000,187872634.97420000,0
