timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-01,0.93730000,0.94890000,0.85000000,0.93600000,4512626.48000000,1714607999999,4086752.05167200,2034,1794961.69000000,1625220.90120200,0
2024-05-02,0.93620000,0.94890000,0.89370000,0.93750000,2791170.14000000,1714694399999,2579651.26529800,1636,1511102.86000000,1398029.77238300,0
2024-05-03,0.93750000,1.00230000,0.92810000,0.99560000,3684678.44000000,1714780799999,3539305.21733300,1762,2163907.95000000,2066405.43798900,0
2024-05-04,0.99840000,1.01190000,0.97840000,0.99310000,5266053.16000000,1714867199999,5235474.69233500,2378,1924914.05000000,1917834.22920100,0
2024-05-05,0.99400000,1.02860000,0.96950000,1.00600000,3652302.78000000,1714953599999,3642560.46344900,1850,1593519.11000000,1595970.28083100,0
2024-05-06,1.00470000,1.03900000,0.98300000,0.98340000,3949921.57000000,1715039999999,3976001.75941700,1605,2548701.07000000,2565622.58129700,0
2024-05-07,0.98410000,0.99760000,0.95480000,0.95480000,2711194.69000000,1715126399999,2657205.12394500,1172,1611631.41000000,1582742.84319600,0
2024-05-08,0.95860000,0.99920000,0.93730000,0.97300000,2765883.98000000,1715212799999,2675697.12659900,1449,1223321.73000000,1183103.75418500,0
2024-05-09,0.97080000,0.99560000,0.94500000,0.99420000,2553513.22000000,1715299199999,2495273.89305700,1114,1504354.75000000,1472513.08432500,0
2024-05-10,0.99220000,0.99910000,0.92500000,0.93580000,3536829.06000000,1715385599999,3415444.39251600,1946,1281201.00000000,1238964.69007700,0
2024-05-11,0.93570000,0.95200000,0.90320000,0.90320000,3945710.21000000,1715471999999,3622704.63197100,1764,1210626.60000000,1111574.26862100,0
2024-05-12,0.90430000,0.92310000,0.89820000,0.89890000,1940595.70000000,1715558399999,1762354.92838200,784,779068.70000000,708389.85770800,0
2024-05-13,0.89970000,0.92790000,0.86980000,0.90640000,5018653.80000000,1715644799999,4577029.14376300,1477,2885314.02000000,2638238.29053300,0
2024-05-14,0.90670000,0.91310000,0.86780000,0.86790000,1948414.34000000,1715731199999,1733985.75807100,1066,862036.82000000,768934.18347300,0
2024-05-15,0.86920000,0.95350000,0.86620000,0.95110000,3050051.45000000,1715817599999,2795337.98387700,1803,1404239.58000000,1289199.63208900,0
2024-05-16,0.95320000,0.96030000,0.90000000,0.94710000,2876288.62000000,1715903999999,2720086.31989900,1105,1640501.53000000,1555510.26259100,0
2024-05-17,0.94710000,0.97770000,0.93460000,0.96430000,1558876.60000000,1715990399999,1494087.63843100,643,755611.71000000,723644.40108700,0
2024-05-18,0.96440000,0.97850000,0.94500000,0.97840000,1310562.55000000,1716076799999,1263253.04752100,721,662149.63000000,639197.75417200,0
2024-05-19,0.97430000,0.98830000,0.92050000,0.93250000,1562233.61000000,1716163199999,1491248.35659000,637,759775.06000000,728217.13612500,0
2024-05-20,0.92950000,1.02380000,0.91590000,1.01460000,3248450.80000000,1716249599999,3150059.90944500,1397,1845372.08000000,1795993.09683900,0
2024-05-21,1.01560000,1.03790000,0.99420000,1.01290000,4328184.34000000,1716335999999,4380077.51561500,1906,2238793.07000000,2267279.55255600,0
2024-05-22,1.01210000,1.01740000,0.97880000,0.99750000,2659990.66000000,1716422399999,2649173.86903000,1011,1380637.87000000,1377034.15752500,0
2024-05-23,1.00100000,1.02370000,0.91630000,0.97030000,4286628.79000000,1716508799999,4191315.62644300,1852,1989501.97000000,1951755.51816500,0
2024-05-24,0.96900000,0.99000000,0.93870000,0.98800000,2436695.28000000,1716595199999,2361028.87693800,1352,1279089.15000000,1239574.84733600,0
2024-05-25,0.98920000,0.99980000,0.97780000,0.98870000,1173880.45000000,1716681599999,1158510.12220700,771,653838.43000000,645636.25975300,0
2024-05-26,0.98810000,0.99020000,0.95000000,0.95720000,1654621.54000000,1716767999999,1595656.31570000,748,299653.34000000,289686.14460200,0
2024-05-27,0.95760000,0.99580000,0.92000000,0.98360000,4437395.64000000,1716854399999,4315744.48521500,1298,2234332.23000000,2185932.29216300,0
2024-05-28,0.98220000,0.98220000,0.93680000,0.94810000,5741485.90000000,1716940799999,5461905.53063200,1850,3152850.26000000,3005454.19873200,0
2024-05-29,0.94850000,0.96800000,0.93390000,0.94060000,3472614.39000000,1717027199999,3314982.10512900,1093,1683410.69000000,1611419.78771300,0
2024-05-30,0.94060000,0.98020000,0.90500000,0.92210000,2848508.24000000,1717113599999,2661213.05063300,1253,1525726.64000000,1429829.07834600,0
2024-05-31,0.92050000,0.92950000,0.89840000,0.91300000,2477657.57000000,1717199999999,2274910.34134200,796,925931.90000000,848821.12029200,0
