timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-12-01,3.41700000,3.48100000,3.41100000,3.47800000,561355.00000000,1701475199999,1941912.01900000,773,276114.00000000,955225.31500000,0
2023-12-02,3.48000000,3.52700000,3.45300000,3.52300000,733693.00000000,1701561599999,2556606.79500000,1119,373170.00000000,1300867.24000000,0
2023-12-03,3.52900000,3.56400000,3.48600000,3.53200000,975873.00000000,1701647999999,3436665.07400000,1288,443817.00000000,1563689.36600000,0
2023-12-04,3.53100000,3.62600000,3.48100000,3.54300000,2330357.00000000,1701734399999,8265462.42900000,2302,1223133.00000000,4338808.25000000,0
2023-12-05,3.54000000,3.56100000,3.47500000,3.55400000,1888621.00000000,1701820799999,6647831.96500000,1962,921944.00000000,3244381.42700000,0
2023-12-06,3.55300000,3.66400000,3.51700000,3.65600000,2388488.00000000,1701907199999,8589721.63200000,2460,1274638.00000000,4594748.71200000,0
2023-12-07,3.65100000,3.71100000,3.57300000,3.66100000,2278476.00000000,1701993599999,8309856.99800000,2012,1133636.00000000,4131735.74800000,0
2023-12-08,3.66800000,3.88500000,3.65600000,3.85000000,2292272.00000000,1702079999999,8676907.91400000,1951,1213046.00000000,4590526.31600000,0
2023-12-09,3.85200000,4.02700000,3.82100000,3.89800000,2875693.00000000,1702166399999,11291504.87700000,2427,1371737.00000000,5387353.97400000,0
2023-12-10,3.89700000,3.99100000,3.83900000,3.88200000,1438387.00000000,1702252799999,5605465.43700000,1567,675655.00000000,2633458.80100000,0
2023-12-11,3.88700000,3.92500000,3.50000000,3.60800000,2821248.00000000,1702339199999,10346305.88000000,3150,1410141.00000000,5170442.60400000,0
2023-12-12,3.60700000,3.65900000,3.53600000,3.60000000,964336.00000000,1702425599999,3480322.59300000,1098,473707.00000000,1708261.79300000,0
2023-12-13,3.59700000,3.67200000,3.46800000,3.65700000,1493868.00000000,1702511999999,5334606.27200000,1220,730552.00000000,2610855.10400000,0
2023-12-14,3.65600000,3.72900000,3.58300000,3.70800000,1511250.00000000,1702598399999,5511978.51200000,1118,826673.00000000,3015594.77400000,0
2023-12-15,3.70400000,3.72500000,3.60000000,3.61200000,707639.00000000,1702684799999,2590419.41000000,1066,374399.00000000,1370479.96000000,0
2023-12-16,3.61700000,3.70300000,3.56900000,3.67500000,453474.00000000,1702771199999,1658935.42700000,655,232284.00000000,849424.95100000,0
2023-12-17,3.67400000,3.68600000,3.58700000,3.60000000,492139.00000000,1702857599999,1801505.65700000,583,211791.00000000,776191.19400000,0
2023-12-18,3.59600000,3.60700000,3.44200000,3.56400000,989370.00000000,1702943999999,3488580.23700000,1224,523967.00000000,1849159.29000000,0
2023-12-19,3.56000000,3.59400000,3.48100000,3.51000000,1185851.00000000,1703030399999,4208260.98700000,1004,597836.00000000,2125737.79700000,0
2023-12-20,3.51800000,3.59900000,3.48900000,3.57000000,1654537.00000000,1703116799999,5878376.72500000,1010,864145.00000000,3071817.11400000,0
2023-12-21,3.57000000,3.64100000,3.54000000,3.64100000,674355.00000000,1703203199999,2422939.08800000,816,301131.00000000,1083217.03100000,0
2023-12-22,3.64500000,3.74000000,3.59500000,3.72500000,1390726.00000000,1703289599999,5120779.83800000,1255,746414.00000000,2750245.52700000,0
2023-12-23,3.72100000,3.75500000,3.65000000,3.72100000,756529.00000000,1703375999999,2808560.20900000,929,401957.00000000,1493636.93600000,0
2023-12-24,3.72600000,3.77200000,3.67900000,3.71200000,2074081.00000000,1703462399999,7761147.70700000,1448,965782.00000000,3615367.40000000,0
2023-12-25,3.72100000,3.88300000,3.68900000,3.86600000,2510578.00000000,1703548799999,9609583.24700000,1889,1181320.00000000,4523306.66700000,0
2023-12-26,3.86100000,3.86100000,3.60700000,3.75000000,1528126.00000000,1703635199999,5748287.36700000,1832,612255.00000000,2295994.94600000,0
2023-12-27,3.74800000,3.96800000,3.70000000,3.88900000,2048139.00000000,1703721599999,7906074.13300000,1799,1046981.00000000,4043081.17400000,0
2023-12-28,3.87700000,4.03400000,3.84700000,3.92600000,2347102.00000000,1703807999999,9260733.36900000,2122,1291760.00000000,5100876.52300000,0
2023-12-29,3.93400000,3.93400000,3.81000000,3.91400000,1693447.00000000,1703894399999,6577040.21700000,1312,853969.00000000,3318746.70800000,0
2023-12-30,3.91500000,4.19300000,3.90400000,4.02600000,11439229.00000000,1703980799999,46648478.88700000,6329,5599296.00000000,22844327.68400000,0
2023-12-31,4.02600000,4.04600000,3.87000000,3.92200000,1947669.00000000,1704067199999,7744882.10000000,1521,889393.00000000,3537682.42300000,0
