timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-01,1023.40000000,1032.90000000,953.20000000,979.70000000,8327.72000000,1712015999999,8217818.62900000,7440,3413.70000000,3373776.51100000,0
2024-04-02,979.00000000,979.80000000,894.60000000,926.20000000,10584.93000000,1712102399999,9862300.11400000,9299,4455.15000000,4150048.20700000,0
2024-04-03,927.80000000,979.70000000,902.70000000,942.20000000,5960.96000000,1712188799999,5689166.77500000,5768,3156.24000000,3018934.48400000,0
2024-04-04,941.80000000,961.70000000,917.70000000,935.80000000,4917.97000000,1712275199999,4633595.39000000,5158,2497.28000000,2355826.08300000,0
2024-04-05,935.30000000,942.80000000,853.40000000,891.30000000,8070.57000000,1712361599999,7198376.32600000,7212,3450.42000000,3071155.77700000,0
2024-04-06,891.10000000,917.80000000,887.00000000,912.80000000,3575.82000000,1712447999999,3221714.14600000,4101,1702.15000000,1534399.62400000,0
2024-04-07,912.40000000,932.80000000,904.60000000,916.80000000,3035.36000000,1712534399999,2794265.40100000,3581,1506.81000000,1389011.37300000,0
2024-04-08,916.90000000,935.40000000,895.00000000,915.30000000,5951.33000000,1712620799999,5459326.01800000,5745,2847.17000000,2616823.23900000,0
2024-04-09,914.30000000,916.00000000,852.70000000,870.50000000,7759.51000000,1712707199999,6848795.19900000,7306,3607.61000000,3181599.30900000,0
2024-04-10,869.90000000,891.70000000,820.60000000,882.30000000,7805.63000000,1712793599999,6712676.93300000,7816,4001.73000000,3442083.61100000,0
2024-04-11,880.20000000,901.30000000,860.80000000,879.50000000,6804.77000000,1712879999999,6007371.55200000,6093,3593.01000000,3174237.94400000,0
2024-04-12,879.50000000,896.60000000,726.90000000,794.00000000,12514.45000000,1712966399999,10308575.20900000,10739,5682.25000000,4691367.59000000,0
2024-04-13,793.90000000,802.90000000,626.10000000,736.40000000,20987.82000000,1713052799999,15230714.50100000,14126,9334.41000000,6762864.64500000,0
2024-04-14,735.00000000,813.00000000,691.30000000,796.20000000,11851.86000000,1713139199999,8858417.14000000,9285,4846.52000000,3615632.82800000,0
2024-04-15,797.00000000,822.10000000,700.00000000,725.80000000,9583.27000000,1713225599999,7274032.09000000,10556,4382.23000000,3343472.54500000,0
2024-04-16,727.70000000,736.30000000,670.00000000,722.70000000,11236.27000000,1713311999999,7910934.06600000,10693,5210.51000000,3671938.03700000,0
2024-04-17,723.10000000,758.00000000,670.60000000,695.70000000,10754.91000000,1713398399999,7611156.12700000,9773,5070.25000000,3592741.63900000,0
2024-04-18,695.40000000,761.50000000,675.00000000,753.00000000,9419.26000000,1713484799999,6822423.88700000,8971,4760.45000000,3463428.79800000,0
2024-04-19,752.20000000,773.50000000,682.00000000,748.20000000,10294.24000000,1713571199999,7594669.40400000,9904,5094.44000000,3786413.05800000,0
2024-04-20,749.20000000,800.60000000,734.30000000,795.00000000,5207.25000000,1713657599999,4016270.09600000,5771,2840.77000000,2192047.23500000,0
2024-04-21,794.70000000,805.60000000,770.00000000,781.50000000,3954.15000000,1713743999999,3112833.13900000,4083,1819.07000000,1432125.01800000,0
2024-04-22,780.90000000,824.00000000,771.30000000,815.80000000,6005.60000000,1713830399999,4818976.94200000,5839,3284.42000000,2639081.11800000,0
2024-04-23,815.80000000,829.10000000,796.70000000,799.10000000,4889.21000000,1713916799999,3971830.96400000,5653,2409.74000000,1961397.88500000,0
2024-04-24,798.80000000,826.60000000,752.20000000,767.00000000,6039.18000000,1714003199999,4814758.55500000,6152,2856.71000000,2289100.51300000,0
2024-04-25,767.00000000,776.50000000,738.50000000,752.50000000,4287.98000000,1714089599999,3256914.63400000,4719,2129.94000000,1621968.77900000,0
2024-04-26,752.40000000,754.10000000,716.00000000,717.80000000,3714.25000000,1714175999999,2738678.43400000,4179,1736.38000000,1281685.39300000,0
2024-04-27,720.00000000,738.00000000,681.70000000,729.30000000,3103.53000000,1714262399999,2208042.56700000,3468,1423.36000000,1014765.88400000,0
2024-04-28,729.60000000,746.20000000,706.60000000,711.90000000,2385.91000000,1714348799999,1740909.47100000,2718,1109.30000000,815139.86500000,0
2024-04-29,711.60000000,716.60000000,686.40000000,708.00000000,5180.80300000,1714435199999,3621169.16230000,4562,2969.49700000,2081305.01050000,0
2024-04-30,708.40000000,718.00000000,633.90000000,664.00000000,7464.60700000,1714521599999,4967306.65040000,6565,3399.30100000,2261844.22640000,0
