timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-01,59731.52000000,60821.34000000,57752.15000000,60551.52000000,276.77132000,1722556799999,16351775.62771690,26939,158.79935000,9386628.19219330,0
2024-08-02,60567.30000000,60797.73000000,56202.23000000,56633.83000000,309.05118000,1722643199999,18022875.54395590,28363,166.87241000,9740260.84303070,0
2024-08-03,56623.67000000,57258.83000000,55114.77000000,55905.89000000,228.21683000,1722729599999,12837117.85413260,26809,121.56800000,6836244.14312690,0
2024-08-04,55913.54000000,56183.81000000,52636.83000000,53438.59000000,245.02050000,1722815999999,13350770.10076650,28919,119.92267000,6544187.39137740,0
2024-08-05,53448.10000000,53609.24000000,45249.00000000,49564.11000000,1660.36257000,1722902399999,80734308.53000770,135374,912.24527000,44361104.58512030,0
2024-08-06,49563.69000000,52329.89000000,49495.83000000,51413.78000000,551.12396000,1722988799999,28217706.32146900,63942,314.31063000,16102498.18602090,0
2024-08-07,51406.16000000,52963.18000000,50013.76000000,50464.48000000,361.46425000,1723075199999,18690096.81887320,42714,181.10245000,9380245.93342020,0
2024-08-08,50498.75000000,57516.06000000,50128.01000000,56586.70000000,310.90264000,1723161599999,16672587.31632640,34900,171.30691000,9194690.68397250,0
2024-08-09,56579.02000000,56618.64000000,54558.30000000,55825.86000000,167.26152000,1723247999999,9304119.77036720,21192,82.17391000,4571749.86261860,0
2024-08-10,55823.99000000,56373.91000000,55283.48000000,55932.57000000,72.55735000,1723334399999,4050638.81002500,12855,36.54872000,2040279.44110790,0
2024-08-11,55951.97000000,56776.91000000,53501.60000000,53861.14000000,176.14714000,1723420799999,9695026.30482600,25492,87.81345000,4828465.37460350,0
2024-08-12,53865.39000000,55590.45000000,52835.02000000,54327.19000000,217.13333000,1723507199999,11738835.58142040,27403,118.92570000,6431903.95874160,0
2024-08-13,54322.48000000,56152.02000000,53550.00000000,55165.84000000,165.26790000,1723593599999,9037216.62116530,21773,90.11739000,4933154.18744880,0
2024-08-14,55180.38000000,56120.06000000,53103.87000000,53355.00000000,244.08378000,1723679999999,13304851.74392750,23675,131.38815000,7164045.39608270,0
2024-08-15,53342.25000000,54487.98000000,51200.06000000,52482.04000000,274.50015000,1723766399999,14562674.62539890,31653,137.45780000,7289397.04323550,0
2024-08-16,52488.52000000,54334.31000000,52074.31000000,53437.39000000,152.72394000,1723852799999,8140330.42449570,21870,90.39670000,4821266.76029480,0
2024-08-17,53443.82000000,54261.15000000,53390.59000000,54078.40000000,39.82773000,1723939199999,2146525.68171420,9986,22.91031000,1234617.78440340,0
2024-08-18,54089.60000000,54772.25000000,53056.85000000,53057.22000000,68.97731000,1724025599999,3734615.04471410,15018,34.48975000,1868755.85726170,0
2024-08-19,53073.90000000,53827.55000000,52451.00000000,53675.93000000,135.38855000,1724111999999,7180307.37774330,21129,69.24620000,3672904.93117700,0
2024-08-20,53675.96000000,55437.31000000,52760.02000000,53083.29000000,238.97661000,1724198399999,12936711.90945070,27238,126.33343000,6849623.36242250,0
2024-08-21,53076.72000000,55430.86000000,52886.17000000,54804.09000000,225.47294000,1724284799999,12216267.36920880,30745,121.89957000,6605661.27753280,0
2024-08-22,54802.03000000,55186.94000000,53590.76000000,54357.15000000,132.07954000,1724371199999,7208756.51008070,17817,68.81899000,3756565.08564630,0
2024-08-23,54368.96000000,58129.82000000,54337.29000000,57215.96000000,276.98027000,1724457599999,15445977.12553650,28389,157.43685000,8774366.88048820,0
2024-08-24,57218.42000000,57613.78000000,56765.22000000,57273.94000000,98.41308000,1724543999999,5633299.54526600,16662,52.28415000,2993915.35685470,0
2024-08-25,57277.94000000,58049.99000000,56579.30000000,57276.20000000,136.30546000,1724630399999,7793716.51624360,22709,75.65241000,4326535.99709900,0
2024-08-26,57276.20000000,57515.72000000,56303.97000000,56342.22000000,138.89992000,1724716799999,7914113.69829680,23327,70.59148000,4023268.61052370,0
2024-08-27,56314.73000000,56655.07000000,51992.89000000,53243.79000000,233.85586000,1724803199999,12829661.57089910,27610,111.02416000,6091007.03730600,0
2024-08-28,53247.97000000,54231.79000000,52130.16000000,53113.91000000,238.65179000,1724889599999,12717914.30874340,26923,129.69136000,6912239.38144390,0
2024-08-29,53125.92000000,55272.57000000,52956.25000000,53645.07000000,173.71657000,1724975999999,9397423.10948470,23829,94.30891000,5100497.09909750,0
2024-08-30,53621.28000000,54099.99000000,52270.00000000,53558.38000000,151.31900000,1725062399999,8062516.51194710,18207,82.24662000,4381704.78003250,0
2024-08-31,53572.85000000,53855.99000000,53167.45000000,53361.85000000,41.39938000,1725148799999,2213686.21015370,8754,21.28205000,1138020.94136840,0
