timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-01,0.09020000,0.09318000,0.08829000,0.09193000,155229.00000000,1690934399999,14021.07040000,177,73710.00000000,6655.63121000,0
2023-08-02,0.09211000,0.09238000,0.08976000,0.09005000,96784.00000000,1691020799999,8777.53378000,135,49019.00000000,4441.51395000,0
2023-08-03,0.09001000,0.09068000,0.08942000,0.09035000,112646.00000000,1691107199999,10146.55079000,121,51079.00000000,4597.90141000,0
2023-08-04,0.09015000,0.09186000,0.08963000,0.09186000,98994.00000000,1691193599999,9014.19877000,139,49533.00000000,4509.40985000,0
2023-08-05,0.09167000,0.09455000,0.09096000,0.09432000,244988.00000000,1691279999999,22756.44874000,205,114965.00000000,10666.11356000,0
2023-08-06,0.09421000,0.10712000,0.09421000,0.10060000,899132.00000000,1691366399999,89858.69163000,733,435670.00000000,43474.82420000,0
2023-08-07,0.10100000,0.11528000,0.09611000,0.09843000,790675.00000000,1691452799999,83497.85287000,713,328563.00000000,34477.03680000,0
2023-08-08,0.09950000,0.10081000,0.09764000,0.10056000,202312.00000000,1691539199999,20068.73984000,247,96795.00000000,9601.46273000,0
2023-08-09,0.10045000,0.10055000,0.09834000,0.10048000,114493.00000000,1691625599999,11382.43057000,137,58782.00000000,5841.72483000,0
2023-08-10,0.10049000,0.10336000,0.09770000,0.09869000,173172.00000000,1691711999999,17215.92856000,187,89380.00000000,8869.07010000,0
2023-08-11,0.09890000,0.10080000,0.09854000,0.10080000,155349.00000000,1691798399999,15508.84571000,151,78541.00000000,7833.66071000,0
2023-08-12,0.10091000,0.10115000,0.09863000,0.09863000,82913.00000000,1691884799999,8286.22460000,82,45793.00000000,4565.82262000,0
2023-08-13,0.09813000,0.09814000,0.09586000,0.09586000,74531.00000000,1691971199999,7248.52805000,57,35742.00000000,3474.20418000,0
2023-08-14,0.09629000,0.09882000,0.09499000,0.09824000,133645.00000000,1692057599999,13004.84879000,128,62045.00000000,6035.15448000,0
2023-08-15,0.09765000,0.09853000,0.08691000,0.09100000,238184.00000000,1692143999999,22496.51008000,218,127491.00000000,12136.87517000,0
2023-08-16,0.09050000,0.09054000,0.08247000,0.08420000,314673.00000000,1692230399999,27417.72410000,282,157383.00000000,13668.31923000,0
2023-08-17,0.08362000,0.08700000,0.06768000,0.07481000,1275131.00000000,1692316799999,107813.54349000,491,1002781.00000000,85317.71883000,0
2023-08-18,0.07490000,0.07875000,0.07449000,0.07771000,687935.00000000,1692403199999,52446.47305000,594,316369.00000000,24093.75437000,0
2023-08-19,0.07753000,0.07906000,0.07676000,0.07820000,345184.00000000,1692489599999,26915.25360000,318,168348.00000000,13119.58066000,0
2023-08-20,0.07857000,0.07898000,0.07713000,0.07807000,276797.00000000,1692575999999,21616.88337000,214,137891.00000000,10765.10872000,0
2023-08-21,0.07804000,0.07804000,0.07424000,0.07620000,353261.00000000,1692662399999,26871.68122000,341,167750.00000000,12758.09333000,0
2023-08-22,0.07603000,0.07604000,0.07169000,0.07566000,430606.00000000,1692748799999,32058.92454000,380,211490.00000000,15757.51327000,0
2023-08-23,0.07575000,0.07815000,0.07543000,0.07703000,579857.00000000,1692835199999,44448.80241000,547,269277.00000000,20641.74340000,0
2023-08-24,0.07723000,0.07747000,0.07525000,0.07568000,469446.00000000,1692921599999,35806.34646000,453,241797.00000000,18449.86940000,0
2023-08-25,0.07568000,0.07576000,0.07378000,0.07565000,455085.00000000,1693007999999,33999.52362000,381,223074.00000000,16655.27418000,0
2023-08-26,0.07574000,0.07637000,0.07437000,0.07437000,136628.00000000,1693094399999,10337.03275000,123,68854.00000000,5208.13263000,0
2023-08-27,0.07450000,0.07520000,0.07401000,0.07493000,192567.00000000,1693180799999,14360.70556000,128,94572.00000000,7049.84343000,0
2023-08-28,0.07493000,0.07647000,0.07296000,0.07570000,547479.00000000,1693267199999,40843.57211000,415,267181.00000000,19916.35899000,0
2023-08-29,0.07543000,0.07943000,0.07318000,0.07870000,567851.00000000,1693353599999,42762.47001000,423,273552.00000000,20601.74254000,0
2023-08-30,0.07897000,0.07986000,0.07678000,0.07792000,410701.00000000,1693439999999,32188.94943000,434,198889.00000000,15585.12173000,0
2023-08-31,0.07766000,0.08192000,0.07515000,0.07690000,979804.00000000,1693526399999,77310.77317000,842,500191.00000000,39540.08581000,0
