timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-01,0.35340000,0.35340000,0.33630000,0.34440000,11787.00000000,1682985599999,4065.45758000,69,3496.30000000,1217.56950000,0
2023-05-02,0.34020000,0.34520000,0.33980000,0.34340000,102293.00000000,1683071999999,35114.32927000,179,44992.30000000,15411.33134000,0
2023-05-03,0.34200000,0.34940000,0.33500000,0.34940000,82327.20000000,1683158399999,28058.72758000,182,35650.10000000,12151.01160000,0
2023-05-04,0.34870000,0.35050000,0.34420000,0.34800000,11557.20000000,1683244799999,4021.26215000,58,4206.80000000,1471.01143000,0
2023-05-05,0.34420000,0.35450000,0.34410000,0.35160000,14652.90000000,1683331199999,5098.11758000,58,8911.10000000,3104.13440000,0
2023-05-06,0.34580000,0.34660000,0.32800000,0.33130000,28235.30000000,1683417599999,9578.47891000,85,9998.60000000,3416.64005000,0
2023-05-07,0.33640000,0.33640000,0.32990000,0.33280000,22245.80000000,1683503999999,7429.48579000,88,6636.10000000,2220.56509000,0
2023-05-08,0.33070000,0.33220000,0.30000000,0.31140000,161450.40000000,1683590399999,51269.99272000,385,39319.30000000,12350.25500000,0
2023-05-09,0.31460000,0.31860000,0.31230000,0.31640000,8206.70000000,1683676799999,2591.10564000,46,5656.10000000,1787.22521000,0
2023-05-10,0.31350000,0.32600000,0.30500000,0.32410000,122775.80000000,1683763199999,38764.80205000,154,86009.50000000,27152.31917000,0
2023-05-11,0.31270000,0.31600000,0.29970000,0.30650000,31829.20000000,1683849599999,9709.97423000,111,9406.80000000,2878.38126000,0
2023-05-12,0.30320000,0.30940000,0.29470000,0.30890000,59372.60000000,1683935999999,17958.18460000,184,34711.90000000,10562.59941000,0
2023-05-13,0.30800000,0.31210000,0.30500000,0.30920000,28496.90000000,1684022399999,8789.97648000,95,12976.00000000,4011.11038000,0
2023-05-14,0.30700000,0.31230000,0.30560000,0.30930000,17148.30000000,1684108799999,5307.63161000,62,11951.20000000,3697.96982000,0
2023-05-15,0.31020000,0.31800000,0.30700000,0.31390000,26608.70000000,1684195199999,8370.35097000,78,16548.00000000,5208.21127000,0
2023-05-16,0.31000000,0.32000000,0.30880000,0.31990000,13604.30000000,1684281599999,4270.30397000,53,8326.40000000,2618.18265000,0
2023-05-17,0.32030000,0.33760000,0.32030000,0.32820000,43450.40000000,1684367999999,14279.34464000,134,27788.30000000,9149.06005000,0
2023-05-18,0.32860000,0.32860000,0.31480000,0.32180000,27997.10000000,1684454399999,8980.62826000,78,16416.80000000,5282.97363000,0
2023-05-19,0.32180000,0.32450000,0.31910000,0.32040000,10994.20000000,1684540799999,3543.70071000,38,7414.70000000,2396.59639000,0
2023-05-20,0.31800000,0.32330000,0.31770000,0.32100000,9662.50000000,1684627199999,3092.39740000,38,5563.50000000,1782.06049000,0
2023-05-21,0.31880000,0.31930000,0.31220000,0.31580000,40654.50000000,1684713599999,12769.82723000,88,9744.40000000,3069.89236000,0
2023-05-22,0.31340000,0.31530000,0.30920000,0.31360000,19356.00000000,1684799999999,6058.11840000,70,9491.40000000,2978.46466000,0
2023-05-23,0.31710000,0.32000000,0.31300000,0.31520000,86136.70000000,1684886399999,27268.32130000,182,53518.80000000,16975.62346000,0
2023-05-24,0.31380000,0.31380000,0.29900000,0.30390000,225507.40000000,1684972799999,69303.04374000,213,202094.20000000,62146.14365000,0
2023-05-25,0.30250000,0.31360000,0.29370000,0.31150000,58785.10000000,1685059199999,18082.68007000,102,37734.70000000,11614.40586000,0
2023-05-26,0.30990000,0.31380000,0.30600000,0.30860000,109887.20000000,1685145599999,34049.65674000,132,66362.00000000,20622.88934000,0
2023-05-27,0.30930000,0.31460000,0.30740000,0.31440000,78440.10000000,1685231999999,24423.16771000,89,38993.60000000,12203.02425000,0
2023-05-28,0.31390000,0.32330000,0.31300000,0.31980000,42911.80000000,1685318399999,13678.31390000,118,20991.30000000,6706.92339000,0
2023-05-29,0.32040000,0.32070000,0.31100000,0.31220000,96226.10000000,1685404799999,30677.12771000,159,13495.30000000,4254.35724000,0
2023-05-30,0.31000000,0.31560000,0.30950000,0.31380000,66521.50000000,1685491199999,20923.00158000,237,5829.80000000,1822.91975000,0
2023-05-31,0.31440000,0.31440000,0.30110000,0.30330000,19520.10000000,1685577599999,5986.01945000,68,6327.70000000,1946.28882000,0
