timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-01,5.40000000,5.43900000,4.74100000,5.19500000,18113.22000000,1722556799999,90093.54802000,474,8982.22000000,44648.78789000,0
2024-08-02,5.09700000,5.11400000,4.44000000,4.58200000,13672.39000000,1722643199999,64309.93725000,354,5861.98000000,27498.48252000,0
2024-08-03,4.56700000,4.91300000,4.40000000,4.55300000,8156.21000000,1722729599999,37943.30469000,264,3067.96000000,14350.18759000,0
2024-08-04,4.55900000,4.66800000,3.98300000,4.18100000,7991.97000000,1722815999999,34105.43006000,225,2524.06000000,10726.38206000,0
2024-08-05,4.12300000,6.72000000,3.16400000,3.80500000,34688.20000000,1722902399999,128785.51460000,765,18451.21000000,68724.09765000,0
2024-08-06,3.89000000,6.50000000,3.88900000,4.31700000,17641.10000000,1722988799999,76780.92055000,442,8450.40000000,37103.78688000,0
2024-08-07,4.28800000,4.63300000,3.95100000,3.98300000,11954.28000000,1723075199999,51543.84806000,333,4398.61000000,19347.75638000,0
2024-08-08,3.91800000,4.67000000,3.91800000,4.60500000,8480.20000000,1723161599999,35929.08468000,193,2358.95000000,10241.42262000,0
2024-08-09,4.60700000,4.70000000,4.42500000,4.46600000,3569.11000000,1723247999999,16204.65779000,115,1882.30000000,8544.40318000,0
2024-08-10,4.45800000,4.54700000,4.37300000,4.49700000,2979.81000000,1723334399999,13303.08428000,92,1856.41000000,8288.48011000,0
2024-08-11,4.52000000,4.68300000,4.10800000,4.11100000,5651.31000000,1723420799999,24709.33935000,149,3101.59000000,13452.65423000,0
2024-08-12,4.09800000,4.41800000,4.07400000,4.31000000,6127.00000000,1723507199999,25856.59241000,128,4605.66000000,19476.90990000,0
2024-08-13,4.27600000,4.48500000,4.19600000,4.38000000,3338.40000000,1723593599999,14546.71976000,110,1539.14000000,6744.18877000,0
2024-08-14,4.38400000,4.50300000,4.22400000,4.28100000,4761.83000000,1723679999999,21035.87703000,124,2906.89000000,12891.96826000,0
2024-08-15,4.31100000,4.34400000,4.08000000,4.14100000,5467.13000000,1723766399999,23057.95983000,168,2847.31000000,12034.32468000,0
2024-08-16,4.14000000,4.21300000,3.92400000,4.10200000,2681.54000000,1723852799999,10949.06584000,92,1330.94000000,5437.05945000,0
2024-08-17,4.07600000,4.32900000,3.99900000,4.11600000,3306.15000000,1723939199999,13575.69338000,74,1795.15000000,7414.61826000,0
2024-08-18,4.10800000,4.36800000,4.07700000,4.10600000,2635.25000000,1724025599999,10932.44012000,71,1706.32000000,7091.13980000,0
2024-08-19,4.07200000,4.12100000,3.92300000,4.12100000,7452.95000000,1724111999999,29786.31621000,130,3782.07000000,15027.42267000,0
2024-08-20,4.17600000,4.23500000,3.95900000,4.04500000,7278.08000000,1724198399999,30182.46167000,146,2665.57000000,11093.52969000,0
2024-08-21,4.02500000,4.33200000,3.95000000,4.26900000,4078.58000000,1724284799999,16815.56706000,181,1496.24000000,6185.59347000,0
2024-08-22,4.31300000,4.58300000,4.23000000,4.52400000,10046.70000000,1724371199999,44842.04226000,549,5714.05000000,25525.66750000,0
2024-08-23,4.55100000,5.22400000,4.55100000,4.99800000,8897.96000000,1724457599999,42985.19844000,382,4525.94000000,21991.24295000,0
2024-08-24,5.01200000,5.66800000,4.88300000,5.54000000,8271.52000000,1724543999999,44149.86441000,367,3531.54000000,18846.64947000,0
2024-08-25,5.54000000,5.92300000,5.45200000,5.69800000,6272.56000000,1724630399999,35020.85126000,287,3204.37000000,17831.36204000,0
2024-08-26,5.64400000,5.72300000,5.36500000,5.54200000,7151.56000000,1724716799999,39842.92441000,232,2968.05000000,16519.10450000,0
2024-08-27,5.55700000,5.92500000,4.96600000,5.15000000,12828.07000000,1724803199999,69954.59575000,471,5631.32000000,30789.84890000,0
2024-08-28,5.08100000,5.50000000,4.91000000,4.99200000,15209.72000000,1724889599999,78496.08109000,439,6647.91000000,34329.23970000,0
2024-08-29,4.96700000,5.25100000,4.70000000,4.73700000,21743.95000000,1724975999999,109636.85651000,553,9916.92000000,50101.92422000,0
2024-08-30,4.73200000,4.91700000,4.45000000,4.75200000,11186.20000000,1725062399999,52671.48162000,367,5007.60000000,23656.02104000,0
2024-08-31,4.75300000,4.82600000,4.48700000,4.51600000,5935.00000000,1725148799999,27426.62928000,128,2356.93000000,10949.73113000,0
