timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-02-01,0.00000830,0.00000833,0.00000813,0.00000832,10119888741.00,1706831999999,83421.71669795,640,4524873139.00,37343.82813535,0
2024-02-02,0.00000831,0.00000844,0.00000827,0.00000839,8616195596.00,1706918399999,71899.50314633,530,4618934089.00,38558.05129300,0
2024-02-03,0.00000841,0.00000849,0.00000836,0.00000845,7028249235.00,1707004799999,59219.14653768,450,3911908929.00,32990.78331177,0
2024-02-04,0.00000844,0.00000846,0.00000823,0.00000826,5912811278.00,1707091199999,49325.65548548,439,2292799555.00,19157.73144602,0
2024-02-05,0.00000825,0.00000841,0.00000817,0.00000829,7478462950.00,1707177599999,61977.93489086,515,2479834753.00,20602.57224072,0
2024-02-06,0.00000829,0.00000832,0.00000822,0.00000824,5722699346.00,1707263999999,47361.26078316,457,2959602014.00,24507.30858850,0
2024-02-07,0.00000824,0.00000844,0.00000818,0.00000842,6761681760.00,1707350399999,56198.65434507,500,2459706793.00,20514.57285077,0
2024-02-08,0.00000842,0.00000868,0.00000840,0.00000854,35438209038.00,1707436799999,302454.78345947,1247,21360591869.00,182220.98711893,0
2024-02-09,0.00000858,0.00000878,0.00000858,0.00000871,13689154900.00,1707523199999,119020.40638453,804,5647751848.00,49170.15477674,0
2024-02-10,0.00000870,0.00000880,0.00000856,0.00000871,10188732705.00,1707609599999,88612.06482405,668,4048619959.00,35262.90409665,0
2024-02-11,0.00000872,0.00000885,0.00000862,0.00000868,11811079992.00,1707695999999,103242.97966621,752,5230978691.00,45858.17456990,0
2024-02-12,0.00000869,0.00000897,0.00000854,0.00000891,17442777707.00,1707782399999,152718.96081214,985,9097507016.00,79654.72495850,0
2024-02-13,0.00000892,0.00000902,0.00000867,0.00000884,17235200243.00,1707868799999,152490.69997258,963,6120990793.00,54168.87656663,0
2024-02-14,0.00000884,0.00000917,0.00000878,0.00000910,28446095023.00,1707955199999,256533.50627349,1305,12664988807.00,114103.50335522,0
2024-02-15,0.00000912,0.00000933,0.00000902,0.00000916,34581526864.00,1708041599999,317072.43127754,1623,15077484417.00,138358.67436593,0
2024-02-16,0.00000918,0.00000933,0.00000897,0.00000917,22394017692.00,1708127999999,205544.81428088,1122,10781085893.00,98930.34733737,0
2024-02-17,0.00000917,0.00000918,0.00000874,0.00000896,17028364173.00,1708214399999,152299.26748359,828,6221546032.00,55775.76176089,0
2024-02-18,0.00000896,0.00000914,0.00000892,0.00000904,14976602538.00,1708300799999,135644.48043373,592,6360939448.00,57588.00624122,0
2024-02-19,0.00000905,0.00000924,0.00000901,0.00000918,19946329734.00,1708387199999,181987.77475390,943,8254499496.00,75366.49371815,0
2024-02-20,0.00000920,0.00000924,0.00000872,0.00000905,33510376096.00,1708473599999,301296.16070466,1369,15857366308.00,142495.78705608,0
2024-02-21,0.00000903,0.00000905,0.00000861,0.00000883,18543295659.00,1708559999999,162855.70997246,919,6514504744.00,57127.00691312,0
2024-02-22,0.00000884,0.00000898,0.00000869,0.00000882,13033701110.00,1708646399999,115787.16447483,699,6253058978.00,55613.73991907,0
2024-02-23,0.00000881,0.00000887,0.00000865,0.00000879,13577830182.00,1708732799999,119249.49385663,616,6210773107.00,54514.94870043,0
2024-02-24,0.00000883,0.00000894,0.00000865,0.00000891,15742677197.00,1708819199999,139297.92137418,598,7724137700.00,68399.78051485,0
2024-02-25,0.00000889,0.00000899,0.00000884,0.00000894,10036839663.00,1708905599999,89474.83172757,566,2776751226.00,24757.84431295,0
2024-02-26,0.00000894,0.00000942,0.00000873,0.00000927,21983238027.00,1708991999999,199614.33731017,1110,13078672576.00,119055.99665391,0
2024-02-27,0.00000928,0.00001054,0.00000917,0.00001006,110823321452.00,1709078399999,1093043.04483552,4967,51707682363.00,511037.80677115,0
2024-02-28,0.00001001,0.00001154,0.00000930,0.00001079,180515050453.00,1709164799999,1881504.89389464,8286,87138797057.00,912033.26760423,0
2024-02-29,0.00001080,0.00001347,0.00001054,0.00001152,279503638556.00,1709251199999,3454808.43672693,13848,134793667794.00,1664199.28296170,0
