timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-08-01,8.16000000,8.38000000,7.87000000,8.17000000,12358.45000000,1659398399999,99671.63020000,378,4670.50000000,37831.35140000,0
2022-08-02,8.20000000,8.51000000,7.67000000,8.13000000,17298.33000000,1659484799999,138798.61860000,505,10373.84000000,83935.75020000,0
2022-08-03,8.10000000,9.23000000,7.93000000,8.77000000,32124.72000000,1659571199999,285496.72970000,1160,17466.31000000,155495.84570000,0
2022-08-04,8.77000000,8.95000000,8.37000000,8.63000000,18807.39000000,1659657599999,162524.04720000,719,7798.76000000,67389.69450000,0
2022-08-05,8.66000000,9.06000000,8.61000000,8.82000000,17447.71000000,1659743999999,153825.13910000,651,8356.05000000,73707.58850000,0
2022-08-06,8.81000000,8.97000000,8.59000000,8.62000000,4305.90000000,1659830399999,37793.92770000,240,2676.06000000,23566.06700000,0
2022-08-07,8.64000000,8.82000000,8.55000000,8.61000000,3246.47000000,1659916799999,28324.72310000,207,1793.73000000,15670.03760000,0
2022-08-08,8.63000000,9.10000000,8.58000000,8.65000000,12299.35000000,1660003199999,108910.61730000,578,6816.80000000,60585.12360000,0
2022-08-09,8.62000000,8.70000000,7.93000000,8.27000000,12543.79000000,1660089599999,104923.69220000,552,5023.98000000,41718.51260000,0
2022-08-10,8.27000000,9.12000000,8.03000000,8.95000000,15965.47000000,1660175999999,139869.85460000,742,8869.98000000,78081.17260000,0
2022-08-11,8.91000000,9.28000000,8.62000000,8.70000000,16576.76000000,1660262399999,148641.51260000,682,6880.54000000,61809.90830000,0
2022-08-12,8.62000000,9.00000000,8.51000000,8.98000000,7750.38000000,1660348799999,68291.61200000,345,3883.88000000,34205.79040000,0
2022-08-13,8.92000000,9.10000000,8.69000000,8.76000000,8813.31000000,1660435199999,78043.60790000,446,5612.30000000,49698.55950000,0
2022-08-14,8.77000000,9.35000000,8.56000000,8.65000000,14262.14000000,1660521599999,128213.48460000,658,7371.35000000,66566.04160000,0
2022-08-15,8.61000000,8.93000000,8.16000000,8.35000000,12166.58000000,1660607999999,104103.02420000,513,6631.29000000,57187.50620000,0
2022-08-16,8.33000000,8.42000000,8.08000000,8.21000000,7730.33000000,1660694399999,63576.06740000,357,3766.59000000,31032.25700000,0
2022-08-17,8.23000000,8.53000000,7.74000000,7.79000000,8466.67000000,1660780799999,68117.74900000,456,3640.74000000,29325.87870000,0
2022-08-18,7.79000000,8.06000000,7.38000000,7.52000000,9664.59000000,1660867199999,75438.02490000,373,4471.40000000,34730.93080000,0
2022-08-19,7.60000000,7.61000000,6.79000000,6.87000000,17567.19000000,1660953599999,123999.47810000,639,11365.62000000,80177.77050000,0
2022-08-20,6.88000000,7.17000000,6.74000000,6.99000000,11183.07000000,1661039999999,77522.43960000,283,8044.80000000,55726.88560000,0
2022-08-21,7.01000000,7.31000000,6.97000000,7.18000000,5390.59000000,1661126399999,38722.17350000,204,3661.11000000,26334.30150000,0
2022-08-22,7.19000000,7.32000000,6.64000000,7.02000000,8393.92000000,1661212799999,59040.02150000,313,3578.36000000,24981.55880000,0
2022-08-23,7.03000000,7.21000000,6.82000000,7.16000000,7518.41000000,1661299199999,53467.63850000,260,3663.07000000,26076.77400000,0
2022-08-24,7.07000000,7.30000000,6.91000000,7.09000000,6064.59000000,1661385599999,43296.00270000,197,2327.47000000,16616.26250000,0
2022-08-25,7.10000000,7.23000000,6.98000000,7.03000000,5486.60000000,1661471999999,39114.76840000,230,2770.78000000,19767.21760000,0
2022-08-26,7.03000000,7.03000000,6.12000000,6.12000000,12366.77000000,1661558399999,81504.94750000,417,6492.11000000,42675.28620000,0
2022-08-27,6.18000000,6.22000000,5.99000000,6.08000000,4535.26000000,1661644799999,27780.36610000,214,1939.88000000,11898.14640000,0
2022-08-28,6.04000000,6.13000000,5.78000000,5.78000000,5594.72000000,1661731199999,33695.80070000,213,2412.83000000,14578.56600000,0
2022-08-29,5.75000000,6.38000000,5.73000000,6.38000000,4293.41000000,1661817599999,26151.63460000,185,1960.30000000,11923.37220000,0
2022-08-30,6.25000000,6.46000000,5.95000000,6.14000000,5911.60000000,1661903999999,36686.74040000,205,3155.05000000,19642.35400000,0
2022-08-31,6.17000000,6.40000000,6.07000000,6.12000000,5057.74000000,1661990399999,31740.38030000,194,2746.02000000,17257.02720000,0
