timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-08-01,3.24900000,3.31700000,3.09100000,3.15000000,5982.08000000,1659398399999,19087.45137000,131,2908.21000000,9269.70936000,0
2022-08-02,3.15000000,3.17100000,3.01600000,3.11200000,4053.10000000,1659484799999,12544.97782000,68,2765.62000000,8588.32771000,0
2022-08-03,3.10000000,3.35000000,3.10000000,3.25000000,4088.42000000,1659571199999,13412.57861000,79,1203.89000000,3940.80382000,0
2022-08-04,3.28100000,3.36600000,3.22800000,3.34200000,13175.07000000,1659657599999,43540.31911000,156,6957.37000000,23022.89995000,0
2022-08-05,3.34300000,3.55000000,3.30600000,3.42500000,10311.07000000,1659743999999,35385.22230000,206,3750.11000000,12955.49296000,0
2022-08-06,3.43600000,3.50000000,3.41700000,3.45000000,2182.59000000,1659830399999,7518.47386000,50,1061.34000000,3659.04023000,0
2022-08-07,3.42500000,3.72000000,3.39000000,3.65500000,6379.94000000,1659916799999,23132.17410000,117,3965.79000000,14468.86092000,0
2022-08-08,3.66400000,3.85100000,3.66400000,3.70900000,12851.82000000,1660003199999,48331.38147000,218,8256.34000000,31086.75136000,0
2022-08-09,3.69100000,3.69700000,3.49600000,3.65000000,2772.33000000,1660089599999,9961.86618000,74,1391.94000000,5049.53624000,0
2022-08-10,3.60000000,3.70000000,3.52900000,3.62100000,2095.03000000,1660175999999,7611.24664000,78,915.26000000,3301.54074000,0
2022-08-11,3.65000000,3.69900000,3.53400000,3.55000000,5930.82000000,1660262399999,21532.38722000,119,941.83000000,3441.72231000,0
2022-08-12,3.52300000,3.59200000,3.48800000,3.59200000,1544.94000000,1660348799999,5482.99072000,78,711.27000000,2536.02945000,0
2022-08-13,3.60000000,3.67800000,3.57700000,3.64600000,1860.99000000,1660435199999,6788.05378000,59,1234.28000000,4509.54840000,0
2022-08-14,3.66000000,3.68700000,3.50700000,3.52300000,1945.17000000,1660521599999,7006.42715000,61,541.77000000,1959.24751000,0
2022-08-15,3.50800000,3.60000000,3.47500000,3.50200000,2347.05000000,1660607999999,8262.92197000,72,1409.93000000,4980.48067000,0
2022-08-16,3.52500000,3.53100000,3.40000000,3.43800000,1552.39000000,1660694399999,5370.99800000,62,583.19000000,2009.81310000,0
2022-08-17,3.45000000,3.47300000,3.29400000,3.29400000,2453.65000000,1660780799999,8191.37148000,68,913.97000000,3071.99825000,0
2022-08-18,3.30300000,3.35300000,3.25900000,3.25900000,1537.02000000,1660867199999,5102.70716000,59,443.18000000,1472.34718000,0
2022-08-19,3.25000000,3.25000000,3.05000000,3.05000000,3001.26000000,1660953599999,9341.60432000,129,882.30000000,2745.75719000,0
2022-08-20,3.05800000,3.20000000,3.05800000,3.16400000,1358.01000000,1661039999999,4273.16421000,44,789.54000000,2493.23399000,0
2022-08-21,3.17700000,3.34800000,3.17700000,3.34800000,921.41000000,1661126399999,3040.96264000,30,588.56000000,1937.14384000,0
2022-08-22,3.34500000,3.35200000,3.20900000,3.35200000,1415.75000000,1661212799999,4685.34495000,30,931.54000000,3083.33082000,0
2022-08-23,3.36700000,3.36700000,3.29500000,3.30900000,639.29000000,1661299199999,2120.82592000,24,211.04000000,697.91351000,0
2022-08-24,3.28300000,3.36700000,3.28300000,3.34500000,1850.75000000,1661385599999,6120.55802000,33,1046.92000000,3473.54692000,0
2022-08-25,3.33700000,3.43900000,3.33500000,3.43500000,2776.53000000,1661471999999,9441.06092000,58,2294.34000000,7806.24213000,0
2022-08-26,3.41300000,3.41300000,3.18700000,3.18700000,880.79000000,1661558399999,2932.09399000,63,511.04000000,1705.90107000,0
2022-08-27,3.20000000,3.27200000,3.14000000,3.18100000,1344.71000000,1661644799999,4338.31645000,61,487.56000000,1580.85396000,0
2022-08-28,3.17900000,3.35200000,3.17900000,3.28800000,1493.86000000,1661731199999,4933.38395000,45,611.73000000,2018.43367000,0
2022-08-29,3.25500000,3.42400000,3.25500000,3.41900000,1378.56000000,1661817599999,4539.18820000,42,1081.53000000,3557.93258000,0
2022-08-30,3.45000000,3.69000000,3.36400000,3.45500000,13610.93000000,1661903999999,48009.30495000,250,5920.83000000,21066.75613000,0
2022-08-31,3.46700000,3.53500000,3.38100000,3.38100000,5611.70000000,1661990399999,19337.70214000,137,1989.57000000,6848.94468000,0
