timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-01,5.79000000,5.82000000,5.62000000,5.62000000,11589.37000000,1667347199999,66493.87880000,420,8217.15000000,47211.72360000,0
2022-11-02,5.58000000,5.65000000,5.41000000,5.48000000,17641.06000000,1667433599999,97622.19580000,652,9566.24000000,52910.33640000,0
2022-11-03,5.49000000,5.83000000,5.47000000,5.75000000,18607.80000000,1667519999999,106604.93750000,521,8900.28000000,51162.09750000,0
2022-11-04,5.75000000,6.25000000,5.72000000,6.22000000,36573.47000000,1667606399999,219742.37190000,797,21573.56000000,130173.09600000,0
2022-11-05,6.21000000,6.37000000,6.12000000,6.19000000,30628.85000000,1667692799999,190272.99690000,707,17389.10000000,107932.14480000,0
2022-11-06,6.18000000,6.28000000,6.00000000,6.03000000,21616.23000000,1667779199999,133631.32290000,587,12215.76000000,75549.62090000,0
2022-11-07,6.01000000,6.42000000,5.89000000,6.18000000,37533.61000000,1667865599999,231384.94200000,842,13761.49000000,84601.03150000,0
2022-11-08,6.20000000,6.24000000,5.14000000,5.48000000,58330.16000000,1667951999999,326223.15540000,1989,33159.81000000,186623.13170000,0
2022-11-09,5.43000000,5.53000000,4.70000000,4.79000000,43827.67000000,1668038399999,227867.11030000,1301,17425.25000000,91184.60360000,0
2022-11-10,4.72000000,5.27000000,4.68000000,5.10000000,53640.06000000,1668124799999,267411.66630000,1054,23687.40000000,117653.24800000,0
2022-11-11,5.09000000,5.12000000,4.62000000,4.82000000,23465.23000000,1668211199999,112634.21810000,663,12561.54000000,60507.33930000,0
2022-11-12,4.81000000,4.92000000,4.67000000,4.84000000,13864.73000000,1668297599999,66537.45510000,505,6101.69000000,29339.13670000,0
2022-11-13,4.85000000,4.99000000,4.72000000,4.81000000,25995.01000000,1668383999999,126163.06180000,908,14239.14000000,69214.18830000,0
2022-11-14,4.82000000,4.98000000,4.58000000,4.97000000,26737.53000000,1668470399999,128711.54540000,693,13108.95000000,63251.27460000,0
2022-11-15,4.97000000,5.05000000,4.89000000,4.97000000,12740.27000000,1668556799999,63648.68520000,410,7281.25000000,36416.54200000,0
2022-11-16,4.93000000,5.01000000,4.72000000,4.79000000,16383.52000000,1668643199999,79102.99730000,530,8082.13000000,39216.60580000,0
2022-11-17,4.79000000,4.82000000,4.72000000,4.77000000,14171.01000000,1668729599999,67547.69770000,471,7652.75000000,36433.11270000,0
2022-11-18,4.77000000,4.83000000,4.70000000,4.72000000,13072.63000000,1668815999999,62396.18970000,351,8370.77000000,40002.31210000,0
2022-11-19,4.74000000,4.74000000,4.62000000,4.68000000,14138.56000000,1668902399999,65926.83780000,431,7765.44000000,36213.47370000,0
2022-11-20,4.70000000,4.72000000,4.42000000,4.44000000,15709.15000000,1668988799999,71854.01020000,456,7759.92000000,35546.94050000,0
2022-11-21,4.44000000,4.46000000,4.28000000,4.38000000,29072.03000000,1669075199999,127802.60270000,780,15149.39000000,66628.23480000,0
2022-11-22,4.37000000,5.25000000,4.21000000,4.43000000,53027.56000000,1669161599999,248182.23740000,896,38898.31000000,186631.64610000,0
2022-11-23,4.43000000,4.59000000,4.41000000,4.50000000,20984.85000000,1669247999999,94322.10170000,494,10038.42000000,45064.52960000,0
2022-11-24,4.49000000,4.55000000,4.40000000,4.45000000,17587.61000000,1669334399999,78370.60960000,458,9669.82000000,43128.98620000,0
2022-11-25,4.43000000,4.44000000,4.35000000,4.35000000,11870.66000000,1669420799999,51995.70530000,422,6708.09000000,29397.24270000,0
2022-11-26,4.37000000,4.50000000,4.35000000,4.38000000,11216.19000000,1669507199999,49751.75040000,328,5470.57000000,24283.76890000,0
2022-11-27,4.38000000,4.48000000,4.36000000,4.40000000,6733.52000000,1669593599999,29847.74640000,186,3429.03000000,15161.95870000,0
2022-11-28,4.39000000,4.40000000,4.20000000,4.28000000,15185.03000000,1669679999999,65147.78600000,426,7638.28000000,32805.27670000,0
2022-11-29,4.28000000,4.47000000,4.27000000,4.44000000,15960.49000000,1669766399999,69971.64960000,485,6878.35000000,30168.28410000,0
2022-11-30,4.44000000,4.56000000,4.44000000,4.54000000,27467.91000000,1669852799999,123665.14100000,537,17130.72000000,77118.70570000,0
