timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-11-01,422.60000000,451.30000000,409.00000000,443.60000000,5475.51000000,1698883199999,2399640.84400000,351,3603.13000000,1587829.42600000,0
2023-11-02,443.70000000,451.50000000,427.80000000,437.50000000,4637.17000000,1698969599999,2049954.82100000,254,2499.26000000,1106977.57000000,0
2023-11-03,434.80000000,436.00000000,420.30000000,433.50000000,1818.04000000,1699055999999,779258.43200000,125,1213.67000000,521526.30300000,0
2023-11-04,434.80000000,449.80000000,433.70000000,442.90000000,3394.87000000,1699142399999,1503618.27700000,138,2008.49000000,890371.83600000,0
2023-11-05,439.20000000,461.10000000,438.40000000,445.90000000,3273.64000000,1699228799999,1467501.97900000,208,1426.68000000,641839.56200000,0
2023-11-06,445.90000000,469.00000000,438.40000000,469.00000000,4271.03000000,1699315199999,1942129.61800000,225,2596.31000000,1181838.11800000,0
2023-11-07,465.60000000,472.20000000,443.70000000,459.60000000,1169.82000000,1699401599999,541219.86300000,149,756.26000000,351010.79700000,0
2023-11-08,460.50000000,475.70000000,457.30000000,471.20000000,2199.53000000,1699487999999,1029234.52000000,156,949.32000000,442970.68100000,0
2023-11-09,469.80000000,490.00000000,429.20000000,474.40000000,2918.77000000,1699574399999,1348145.94600000,403,1636.56000000,761426.84900000,0
2023-11-10,476.90000000,498.70000000,468.30000000,498.70000000,1204.67000000,1699660799999,577122.97100000,144,620.60000000,296869.84000000,0
2023-11-11,499.00000000,533.10000000,478.90000000,520.90000000,2819.70000000,1699747199999,1440375.02900000,321,1840.86000000,940274.18400000,0
2023-11-12,523.60000000,550.90000000,504.20000000,533.00000000,2863.15000000,1699833599999,1531390.76200000,272,1781.82000000,952824.35500000,0
2023-11-13,536.40000000,552.00000000,500.00000000,503.60000000,2423.80000000,1699919999999,1274536.73400000,223,1297.40000000,682706.43200000,0
2023-11-14,499.10000000,514.50000000,465.00000000,479.30000000,2589.97000000,1700006399999,1264217.58100000,142,1594.72000000,776895.98100000,0
2023-11-15,481.10000000,511.70000000,480.20000000,505.90000000,1252.55000000,1700092799999,618517.44800000,79,415.64000000,206725.21400000,0
2023-11-16,505.80000000,526.30000000,481.90000000,484.60000000,1830.26000000,1700179199999,941012.84400000,94,1173.20000000,605000.60800000,0
2023-11-17,491.10000000,495.10000000,461.50000000,478.20000000,2895.46000000,1700265599999,1382504.33900000,143,1940.27000000,928615.13200000,0
2023-11-18,472.70000000,479.30000000,458.60000000,478.30000000,728.67000000,1700351999999,340385.75700000,79,525.22000000,245354.64600000,0
2023-11-19,480.00000000,495.80000000,471.50000000,493.00000000,864.08000000,1700438399999,419154.82700000,68,297.82000000,143432.70700000,0
2023-11-20,491.80000000,496.00000000,490.10000000,493.50000000,86.32000000,1700449199999,42625.90900000,13,76.69000000,37886.98400000,0
