timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-02-01,0.04087000,0.04104000,0.03975000,0.04101000,33942040.00000000,1706831999999,1372553.75535000,545,16242900.00000000,657680.16483000,0
2024-02-02,0.04087000,0.04231000,0.04071000,0.04225000,28111135.00000000,1706918399999,1170074.55048000,499,14168992.00000000,589428.54391000,0
2024-02-03,0.04210000,0.04230000,0.04134000,0.04168000,18588793.00000000,1707004799999,776379.18161000,334,6145432.00000000,256558.27261000,0
2024-02-04,0.04168000,0.04168000,0.04046000,0.04073000,24158628.00000000,1707091199999,993739.10817000,501,13126856.00000000,540288.93942000,0
2024-02-05,0.04073000,0.04161000,0.04022000,0.04056000,55330097.00000000,1707177599999,2265974.65554000,1721,20329461.00000000,831225.02495000,0
2024-02-06,0.04051000,0.04133000,0.04042000,0.04099000,20674147.00000000,1707263999999,847640.86132000,623,12971989.00000000,532400.68980000,0
2024-02-07,0.04107000,0.04420000,0.04107000,0.04314000,330514386.00000000,1707350399999,14293954.98131000,4352,173117191.00000000,7478902.06184000,0
2024-02-08,0.04309000,0.04365000,0.04249000,0.04344000,59633620.00000000,1707436799999,2570383.86117000,1603,32105974.00000000,1385655.96678000,0
2024-02-09,0.04344000,0.04554000,0.04337000,0.04492000,98609993.00000000,1707523199999,4381943.20453000,1719,59358522.00000000,2630974.06685000,0
2024-02-10,0.04492000,0.04568000,0.04389000,0.04448000,77387939.00000000,1707609599999,3456334.89453000,1350,40488788.00000000,1810446.84150000,0
2024-02-11,0.04449000,0.04509000,0.04360000,0.04378000,39922255.00000000,1707695999999,1781214.73677000,989,16890778.00000000,753049.59325000,0
2024-02-12,0.04382000,0.04544000,0.04325000,0.04534000,75839692.00000000,1707782399999,3378473.74484000,1548,48041812.00000000,2144763.06077000,0
2024-02-13,0.04542000,0.04598000,0.04400000,0.04587000,92231459.00000000,1707868799999,4163654.62139000,1303,42955456.00000000,1939344.40648000,0
2024-02-14,0.04586000,0.05990000,0.04526000,0.05462000,4865481349.00000000,1707955199999,267142074.68693000,56905,2484848938.00000000,136481440.79780000,0
2024-02-15,0.05453000,0.05588000,0.05243000,0.05544000,960973687.00000000,1708041599999,51916577.97329000,13351,528358392.00000000,28560560.99651000,0
2024-02-16,0.05536000,0.05678000,0.05045000,0.05252000,543531570.00000000,1708127999999,29075149.95048000,7278,243119171.00000000,13063078.79194000,0
2024-02-17,0.05256000,0.05256000,0.04950000,0.05177000,276137493.00000000,1708214399999,14234595.64873000,2894,135441727.00000000,7003513.14851000,0
2024-02-18,0.05181000,0.05720000,0.05089000,0.05362000,416015989.00000000,1708300799999,22561154.20897000,5125,228942325.00000000,12445889.90103000,0
2024-02-19,0.05363000,0.05820000,0.05265000,0.05537000,417161878.00000000,1708387199999,23305227.52640000,6276,244422384.00000000,13673388.07294000,0
2024-02-20,0.05550000,0.05833000,0.04801000,0.05425000,355483498.00000000,1708473599999,19789072.63354000,5833,179810541.00000000,10009103.23606000,0
2024-02-21,0.05428000,0.05585000,0.05047000,0.05274000,165490879.00000000,1708559999999,8712627.66173000,4151,70633437.00000000,3734086.17413000,0
2024-02-22,0.05270000,0.05766000,0.03550000,0.05591000,375718361.00000000,1708646399999,20675150.14367000,5203,164543663.00000000,9125904.55186000,0
2024-02-23,0.05603000,0.06758000,0.05556000,0.05942000,2730853004.00000000,1708732799999,166200015.86021000,33753,1354126184.00000000,82259954.53726000,0
2024-02-24,0.05930000,0.06229000,0.05802000,0.05881000,534917292.00000000,1708819199999,31968689.52300000,8133,280205421.00000000,16707377.49484000,0
2024-02-25,0.05880000,0.06102000,0.05800000,0.05947000,378195980.00000000,1708905599999,22373459.69770000,5804,198742530.00000000,11769230.30510000,0
2024-02-26,0.05943000,0.06151000,0.05818000,0.06059000,292311597.00000000,1708991999999,17571048.99022000,4956,146367913.00000000,8802673.92214000,0
2024-02-27,0.06061000,0.06720000,0.05988000,0.06503000,809679174.00000000,1709078399999,51836591.90469000,11235,409701658.00000000,26190787.66513000,0
2024-02-28,0.06497000,0.06774000,0.05424000,0.06345000,466529397.00000000,1709164799999,29801931.68425000,9264,243377919.00000000,15574751.68592000,0
2024-02-29,0.06356000,0.06810000,0.06238000,0.06525000,270696574.00000000,1709251199999,17836832.22814000,9400,121157548.00000000,7981725.55690000,0
