timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-01,24.05000000,24.15000000,22.51000000,23.28000000,202828.90000000,1682985599999,4721030.54000000,1400,111065.50000000,2580536.82200000,0
2023-05-02,23.20000000,23.46000000,22.51000000,23.24000000,142462.00000000,1683071999999,3293694.17800000,561,77829.30000000,1800288.38900000,0
2023-05-03,23.24000000,23.72000000,21.76000000,23.45000000,360261.40000000,1683158399999,8111409.05500000,2026,194694.40000000,4383865.78700000,0
2023-05-04,23.47000000,23.47000000,22.51000000,22.60000000,138977.80000000,1683244799999,3188866.61100000,1424,62468.50000000,1436350.94300000,0
2023-05-05,22.60000000,23.82000000,22.23000000,23.51000000,352441.00000000,1683331199999,8122613.66600000,2624,179514.60000000,4128194.40600000,0
2023-05-06,23.51000000,24.06000000,21.20000000,21.31000000,236193.60000000,1683417599999,5205560.75700000,2394,101193.90000000,2231661.94000000,0
2023-05-07,21.26000000,21.66000000,20.96000000,21.14000000,188575.80000000,1683503999999,4019540.84500000,991,90985.80000000,1939942.19900000,0
2023-05-08,21.00000000,21.21000000,17.17000000,17.62000000,555121.40000000,1683590399999,10238252.28500000,2834,193429.00000000,3584683.26300000,0
2023-05-09,17.62000000,18.08000000,17.39000000,17.62000000,401563.90000000,1683676799999,7116101.79600000,1699,175558.60000000,3112594.85000000,0
2023-05-10,17.62000000,19.20000000,17.23000000,18.75000000,682251.90000000,1683763199999,12490565.07900000,3975,422217.70000000,7711396.85800000,0
2023-05-11,18.72000000,18.73000000,17.26000000,17.69000000,267664.10000000,1683849599999,4737391.86600000,1772,124104.00000000,2198963.38200000,0
2023-05-12,17.64000000,19.23000000,16.99000000,19.11000000,368008.70000000,1683935999999,6689924.84100000,2229,210204.40000000,3822832.36300000,0
2023-05-13,19.06000000,19.06000000,18.06000000,18.08000000,195494.90000000,1684022399999,3656019.80700000,1902,103424.50000000,1933881.54800000,0
2023-05-14,18.14000000,18.72000000,17.90000000,18.43000000,173619.30000000,1684108799999,3184295.21000000,834,89909.20000000,1647064.52300000,0
2023-05-15,18.43000000,18.94000000,18.00000000,18.02000000,285092.70000000,1684195199999,5283617.83200000,2519,135780.90000000,2523797.50700000,0
2023-05-16,18.01000000,18.20000000,17.53000000,18.18000000,157311.60000000,1684281599999,2815635.45700000,1757,83492.30000000,1495666.51300000,0
2023-05-17,18.16000000,19.51000000,17.96000000,19.10000000,811808.50000000,1684367999999,15395850.72900000,4042,450364.90000000,8532989.05900000,0
2023-05-18,19.07000000,19.11000000,18.25000000,18.77000000,134703.00000000,1684454399999,2530275.04400000,1797,63280.90000000,1190274.70200000,0
2023-05-19,18.76000000,19.43000000,18.18000000,19.03000000,244608.90000000,1684540799999,4612971.25300000,1929,118098.20000000,2232596.11300000,0
2023-05-20,19.02000000,19.79000000,18.70000000,19.47000000,568184.50000000,1684627199999,11040903.41600000,2117,269624.20000000,5234952.07700000,0
2023-05-21,19.43000000,19.43000000,18.49000000,18.59000000,145623.90000000,1684713599999,2769842.15200000,1168,69699.70000000,1327286.12700000,0
2023-05-22,18.60000000,18.76000000,18.03000000,18.60000000,62995.20000000,1684799999999,1166121.25900000,986,35963.30000000,665953.14200000,0
2023-05-23,18.61000000,20.07000000,18.45000000,19.96000000,599897.30000000,1684886399999,11708704.23200000,2114,308164.60000000,6015493.29800000,0
2023-05-24,19.95000000,20.11000000,18.30000000,18.69000000,220562.70000000,1684972799999,4204682.91400000,1211,112794.70000000,2143115.00900000,0
2023-05-25,18.62000000,19.26000000,18.07000000,18.95000000,175078.40000000,1685059199999,3312786.13000000,862,83701.70000000,1584215.00000000,0
2023-05-26,18.99000000,19.68000000,18.69000000,19.24000000,230034.10000000,1685145599999,4440376.60400000,1009,130780.10000000,2527539.60600000,0
2023-05-27,19.24000000,19.89000000,19.11000000,19.60000000,180005.30000000,1685231999999,3535744.68500000,1024,111790.60000000,2196442.09900000,0
2023-05-28,19.52000000,21.81000000,19.47000000,21.73000000,407646.60000000,1685318399999,8529287.69400000,1845,204752.00000000,4284545.74400000,0
2023-05-29,21.69000000,23.08000000,20.97000000,21.66000000,629338.80000000,1685404799999,13785520.55600000,3694,331220.50000000,7255997.35200000,0
2023-05-30,21.48000000,22.43000000,20.89000000,21.77000000,161920.00000000,1685491199999,3529004.85400000,1803,85427.10000000,1865481.16100000,0
2023-05-31,21.70000000,22.09000000,19.76000000,20.41000000,246623.00000000,1685577599999,5017469.82000000,2411,84587.80000000,1724925.81400000,0
