timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-01,10.36000000,10.51000000,10.11000000,10.48000000,422416.20000000,1690934399999,4358166.81400000,1158,241304.00000000,2492149.89200000,0
2023-08-02,10.47000000,10.50000000,10.09000000,10.12000000,308158.20000000,1691020799999,3164838.43300000,1006,108325.70000000,1113512.86000000,0
2023-08-03,10.12000000,10.20000000,9.95000000,9.99000000,370417.80000000,1691107199999,3732870.93100000,923,145983.40000000,1473155.07300000,0
2023-08-04,9.99000000,10.05000000,9.77000000,9.92000000,250589.50000000,1691193599999,2497489.01700000,1182,112433.00000000,1120603.65400000,0
2023-08-05,9.92000000,10.07000000,9.80000000,10.06000000,341734.20000000,1691279999999,3380228.55800000,1122,137280.40000000,1356854.21800000,0
2023-08-06,10.06000000,10.22000000,10.04000000,10.19000000,362835.60000000,1691366399999,3681448.60100000,980,199193.40000000,2021979.35300000,0
2023-08-07,10.19000000,10.34000000,9.70000000,9.97000000,680499.60000000,1691452799999,6830904.15700000,2111,335755.10000000,3370888.08700000,0
2023-08-08,9.97000000,10.19000000,9.85000000,10.06000000,520624.70000000,1691539199999,5220550.58100000,1331,253384.60000000,2544859.67500000,0
2023-08-09,10.06000000,10.15000000,9.92000000,9.99000000,463320.20000000,1691625599999,4653728.60300000,1183,204941.40000000,2059904.80500000,0
2023-08-10,9.99000000,10.10000000,9.94000000,9.99000000,319690.50000000,1691711999999,3193340.26100000,880,186421.90000000,1861924.80100000,0
2023-08-11,9.98000000,10.10000000,9.94000000,10.07000000,301700.40000000,1691798399999,3029034.22400000,670,164158.20000000,1648858.04900000,0
2023-08-12,10.07000000,10.15000000,10.01000000,10.11000000,384827.10000000,1691884799999,3875611.81500000,636,226469.00000000,2281651.09800000,0
2023-08-13,10.12000000,10.13000000,9.95000000,9.99000000,538148.40000000,1691971199999,5401376.94500000,945,158750.70000000,1593963.75200000,0
2023-08-14,9.97000000,10.04000000,9.86000000,9.97000000,998068.20000000,1692057599999,9914472.35400000,1705,435055.30000000,4324548.27400000,0
2023-08-15,9.97000000,10.00000000,9.10000000,9.46000000,1029529.50000000,1692143999999,10036081.94700000,2204,445146.60000000,4341488.74100000,0
2023-08-16,9.46000000,9.46000000,8.78000000,9.02000000,722229.50000000,1692230399999,6636805.85200000,2408,331067.00000000,3038012.66600000,0
2023-08-17,8.97000000,9.17000000,7.59000000,8.19000000,988338.50000000,1692316799999,8609095.03000000,3461,505554.10000000,4415882.37200000,0
2023-08-18,8.19000000,8.54000000,8.16000000,8.46000000,553425.30000000,1692403199999,4645073.61400000,2142,268663.40000000,2253007.23900000,0
2023-08-19,8.47000000,8.54000000,8.38000000,8.51000000,368343.60000000,1692489599999,3118502.56900000,1781,162346.50000000,1375116.85500000,0
2023-08-20,8.52000000,8.60000000,8.42000000,8.50000000,266128.20000000,1692575999999,2265027.15500000,505,104365.70000000,888860.76900000,0
2023-08-21,8.51000000,8.53000000,8.12000000,8.28000000,436005.00000000,1692662399999,3632808.35600000,981,234551.80000000,1954473.00100000,0
2023-08-22,8.26000000,8.44000000,8.01000000,8.40000000,457398.20000000,1692748799999,3784207.38100000,1221,195730.90000000,1621696.77900000,0
2023-08-23,8.41000000,8.67000000,8.27000000,8.59000000,457934.50000000,1692835199999,3884912.49200000,1190,248607.40000000,2109179.60500000,0
2023-08-24,8.60000000,8.66000000,7.98000000,8.20000000,747874.80000000,1692921599999,6180814.51100000,2154,365195.90000000,3013736.35900000,0
2023-08-25,8.19000000,8.34000000,7.97000000,8.33000000,376548.30000000,1693007999999,3077508.58300000,1610,187615.10000000,1535858.82600000,0
2023-08-26,8.33000000,8.37000000,8.14000000,8.17000000,243594.20000000,1693094399999,2009527.29200000,980,108426.60000000,895525.81200000,0
2023-08-27,8.17000000,8.25000000,8.11000000,8.15000000,308351.40000000,1693180799999,2523317.58800000,814,152181.50000000,1245188.50800000,0
2023-08-28,8.15000000,8.21000000,7.89000000,8.11000000,604419.90000000,1693267199999,4874014.69600000,1633,268692.00000000,2167773.19400000,0
2023-08-29,8.11000000,8.54000000,7.84000000,8.46000000,992980.40000000,1693353599999,8143304.10000000,1908,556865.10000000,4586718.28600000,0
2023-08-30,8.50000000,8.52000000,8.20000000,8.24000000,385902.70000000,1693439999999,3217536.34300000,1342,143792.20000000,1198016.91400000,0
2023-08-31,8.23000000,8.24000000,7.80000000,7.95000000,723306.50000000,1693526399999,5833712.05500000,2287,322621.40000000,2597784.87800000,0
