timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-05-01,102.20000000,102.43000000,97.01000000,98.18000000,320561.42000000,1682985599999,31880122.55690000,9827,126184.34000000,12526302.81330000,0
2023-05-02,98.07000000,98.58000000,95.58000000,97.52000000,291449.18000000,1683071999999,28317968.54980000,10186,143113.29000000,13898741.76700000,0
2023-05-03,97.52000000,98.44000000,93.56000000,96.27000000,387243.76000000,1683158399999,37177849.11020000,9209,200215.73000000,19237384.37550000,0
2023-05-04,96.25000000,99.99000000,95.60000000,97.84000000,451883.57000000,1683244799999,43944132.03910000,9323,204134.77000000,19851284.53590000,0
2023-05-05,97.81000000,99.05000000,95.70000000,96.71000000,363566.96000000,1683331199999,35229365.48540000,7515,159552.34000000,15467643.28740000,0
2023-05-06,96.76000000,100.00000000,94.56000000,97.21000000,763953.00000000,1683417599999,74384271.07930000,16919,383587.30000000,37379915.50230000,0
2023-05-07,97.21000000,97.34000000,93.54000000,93.73000000,310758.55000000,1683503999999,29784373.51260000,6901,133073.98000000,12764540.96360000,0
2023-05-08,93.54000000,94.18000000,86.38000000,88.19000000,326959.74000000,1683590399999,29193774.05940000,8086,151400.53000000,13513492.90980000,0
2023-05-09,88.21000000,92.30000000,87.27000000,88.30000000,501420.85000000,1683676799999,44867721.93990000,12016,220047.73000000,19704376.99380000,0
2023-05-10,88.30000000,88.86000000,83.57000000,87.01000000,394889.29000000,1683763199999,34314371.22280000,9787,196068.76000000,17047098.16840000,0
2023-05-11,87.01000000,89.50000000,84.67000000,85.46000000,697395.65000000,1683849599999,60472743.74720000,15743,325847.10000000,28274679.36530000,0
2023-05-12,85.47000000,88.50000000,84.00000000,87.91000000,365969.46000000,1683935999999,31515874.18770000,10031,188279.53000000,16240961.23520000,0
2023-05-13,87.95000000,92.50000000,87.20000000,87.77000000,702240.47000000,1684022399999,63003832.48480000,14009,331948.10000000,29820752.83670000,0
2023-05-14,87.55000000,91.62000000,87.00000000,87.86000000,534417.54000000,1684108799999,47480936.05260000,13222,262482.16000000,23321813.88940000,0
2023-05-15,87.94000000,88.39000000,84.89000000,85.69000000,245502.73000000,1684195199999,21270953.70640000,6882,97074.74000000,8398195.98880000,0
2023-05-16,85.69000000,88.20000000,83.79000000,85.50000000,429187.74000000,1684281599999,36725640.11410000,12248,201521.44000000,17237842.06760000,0
2023-05-17,85.50000000,85.62000000,83.69000000,85.28000000,205303.06000000,1684367999999,17387135.98310000,5735,92395.90000000,7821790.86050000,0
2023-05-18,85.29000000,86.09000000,84.44000000,85.44000000,285489.04000000,1684454399999,24359561.13340000,7683,129609.89000000,11060244.05700000,0
2023-05-19,85.39000000,86.44000000,84.88000000,86.01000000,162527.98000000,1684540799999,13939712.65360000,4977,83856.60000000,7195230.93440000,0
2023-05-20,86.05000000,92.00000000,85.95000000,88.76000000,1043375.77000000,1684627199999,92544235.69640000,23202,524327.42000000,46513291.00690000,0
2023-05-21,88.76000000,88.95000000,85.59000000,86.36000000,180824.98000000,1684713599999,15757053.41230000,4636,87090.87000000,7584261.49460000,0
2023-05-22,86.19000000,87.17000000,84.77000000,85.98000000,167373.49000000,1684799999999,14365821.62520000,4662,79851.28000000,6856133.42720000,0
2023-05-23,85.97000000,86.52000000,85.57000000,86.17000000,150848.62000000,1684886399999,12991862.74450000,3513,73642.94000000,6343795.60450000,0
2023-05-24,86.17000000,86.77000000,80.00000000,82.92000000,349167.44000000,1684972799999,29265631.06320000,8130,162310.09000000,13590759.90580000,0
2023-05-25,82.96000000,85.50000000,81.02000000,83.25000000,287384.06000000,1685059199999,23922342.97770000,7247,138817.71000000,11551158.79920000,0
2023-05-26,83.24000000,86.00000000,83.17000000,84.69000000,387107.33000000,1685145599999,32731398.08960000,8793,176875.09000000,14957569.70680000,0
2023-05-27,84.71000000,85.82000000,84.20000000,84.60000000,138808.18000000,1685231999999,11759916.25680000,3716,53688.70000000,4550016.34490000,0
2023-05-28,84.55000000,88.86000000,83.30000000,86.06000000,440327.46000000,1685318399999,37881927.57130000,8969,222180.73000000,19109827.92210000,0
2023-05-29,86.06000000,86.41000000,83.90000000,84.92000000,268922.19000000,1685404799999,22799606.55240000,6428,116850.39000000,9907963.76050000,0
2023-05-30,85.00000000,91.25000000,84.06000000,87.31000000,952824.15000000,1685491199999,83318032.84920000,18966,486114.58000000,42494076.88130000,0
2023-05-31,87.30000000,94.44000000,85.30000000,88.96000000,1914137.51000000,1685577599999,172572286.29780000,38415,906626.56000000,81725629.88910000,0
