timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-11-01,0.10630000,0.10880000,0.10070000,0.10800000,52595925.00000000,1698883199999,5482225.50540000,2181,23055851.00000000,2404733.52190000,0
2023-11-02,0.10860000,0.11130000,0.10390000,0.10700000,41228795.00000000,1698969599999,4444484.46330000,2141,21615063.00000000,2333077.25040000,0
2023-11-03,0.10660000,0.11020000,0.10320000,0.10970000,19847233.00000000,1699055999999,2102139.04480000,1665,10980030.00000000,1166542.44910000,0
2023-11-04,0.10990000,0.11210000,0.10780000,0.11000000,24240412.00000000,1699142399999,2675127.25660000,1354,14256879.00000000,1574171.90360000,0
2023-11-05,0.10970000,0.11890000,0.10910000,0.11240000,76301442.00000000,1699228799999,8760987.23810000,2417,40513333.00000000,4665979.44770000,0
2023-11-06,0.11200000,0.11820000,0.11140000,0.11820000,29596835.00000000,1699315199999,3412857.18660000,1743,17015987.00000000,1960659.65570000,0
2023-11-07,0.11780000,0.11960000,0.11050000,0.11550000,33084801.00000000,1699401599999,3808083.52090000,2143,18551564.00000000,2137123.90400000,0
2023-11-08,0.11570000,0.12140000,0.11470000,0.12000000,45280605.00000000,1699487999999,5399819.59610000,2210,21385902.00000000,2543119.68430000,0
2023-11-09,0.11920000,0.12420000,0.10000000,0.11390000,68255532.00000000,1699574399999,7877024.90760000,3144,33999277.00000000,3943336.77590000,0
2023-11-10,0.11390000,0.11870000,0.11110000,0.11870000,37621843.00000000,1699660799999,4299940.86290000,1973,17559168.00000000,2010693.92470000,0
2023-11-11,0.11840000,0.12590000,0.11450000,0.12190000,45062862.00000000,1699747199999,5446761.83580000,2409,25416389.00000000,3069123.09060000,0
2023-11-12,0.12210000,0.12300000,0.11440000,0.12070000,43164460.00000000,1699833599999,5182191.92320000,1911,23097193.00000000,2777080.45260000,0
2023-11-13,0.12060000,0.12540000,0.11250000,0.11340000,55545194.00000000,1699919999999,6607471.60630000,2797,24538764.00000000,2933318.47430000,0
2023-11-14,0.11280000,0.11440000,0.10360000,0.10730000,61026699.00000000,1700006399999,6622771.29710000,2666,17173814.00000000,1860636.46670000,0
2023-11-15,0.10740000,0.11330000,0.10200000,0.11280000,84257984.00000000,1700092799999,9265546.14830000,2892,47171766.00000000,5182549.59920000,0
2023-11-16,0.11230000,0.11600000,0.10420000,0.10560000,37435936.00000000,1700179199999,4132831.26850000,2151,16366892.00000000,1820369.02440000,0
2023-11-17,0.10550000,0.10910000,0.09820000,0.10300000,41275089.00000000,1700265599999,4256317.39360000,1769,15490227.00000000,1596809.17080000,0
2023-11-18,0.10230000,0.10470000,0.09620000,0.10290000,41942382.00000000,1700351999999,4270854.29790000,1257,18051108.00000000,1839759.22900000,0
2023-11-19,0.10310000,0.10480000,0.10000000,0.10430000,33699614.00000000,1700438399999,3459838.52260000,1357,12088886.00000000,1238030.35110000,0
2023-11-20,0.10430000,0.10440000,0.10000000,0.10120000,66516229.00000000,1700524799999,6820823.29940000,2250,23493736.00000000,2413115.76800000,0
2023-11-21,0.10120000,0.10290000,0.09070000,0.09140000,103068070.00000000,1700611199999,10098821.90110000,2854,41708280.00000000,4062260.06200000,0
2023-11-22,0.09150000,0.09870000,0.09110000,0.09720000,31071295.00000000,1700697599999,2983174.54240000,957,16433067.00000000,1578380.02630000,0
2023-11-23,0.09750000,0.09840000,0.09460000,0.09760000,49843851.00000000,1700783999999,4826782.13640000,1557,24841776.00000000,2406209.26370000,0
2023-11-24,0.09780000,0.10270000,0.09500000,0.10120000,63788745.00000000,1700870399999,6443338.46850000,1931,40837208.00000000,4127674.31800000,0
2023-11-25,0.10150000,0.10360000,0.10060000,0.10350000,24304872.00000000,1700956799999,2490037.81220000,912,10985689.00000000,1126148.50010000,0
2023-11-26,0.10310000,0.10560000,0.10030000,0.10500000,64440238.00000000,1701043199999,6638963.32970000,1656,35006908.00000000,3611697.52690000,0
2023-11-27,0.10510000,0.11000000,0.09320000,0.10400000,310612115.00000000,1701129599999,32859113.69670000,6716,154008649.00000000,16255384.68860000,0
2023-11-28,0.10410000,0.10440000,0.09630000,0.10060000,63506186.00000000,1701215999999,6357811.64140000,1808,30908192.00000000,3095142.12380000,0
2023-11-29,0.10080000,0.10720000,0.10000000,0.10190000,46808875.00000000,1701302399999,4818473.97170000,1212,25727197.00000000,2647250.37210000,0
2023-11-30,0.10210000,0.10590000,0.09850000,0.09980000,30025901.00000000,1701388799999,3002723.14900000,1000,12235033.00000000,1225892.34580000,0
