timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-08-01,39.27000000,39.64000000,39.08000000,39.41000000,540288.00000000,1659398399999,21261060.02000000,2812,170800.00000000,6721236.40000000,0
2022-08-02,39.41000000,39.88000000,39.27000000,39.65000000,373745.00000000,1659484799999,14794141.78000000,2541,208452.00000000,8254882.43000000,0
2022-08-03,39.65000000,39.74000000,38.84000000,39.19000000,400341.00000000,1659571199999,15688521.25000000,2976,184131.00000000,7218315.52000000,0
2022-08-04,39.19000000,39.35000000,38.91000000,38.96000000,370996.00000000,1659657599999,14527632.71000000,2719,165715.00000000,6488565.99000000,0
2022-08-05,38.95000000,39.12000000,38.88000000,38.92000000,327328.00000000,1659743999999,12756349.18000000,2985,139408.00000000,5434681.99000000,0
2022-08-06,38.92000000,39.20000000,38.85000000,39.05000000,222917.00000000,1659830399999,8689666.43000000,2228,113940.00000000,4442698.86000000,0
2022-08-07,39.05000000,39.16000000,38.98000000,39.11000000,205967.00000000,1659916799999,8045511.34000000,1897,95293.00000000,3722694.88000000,0
2022-08-08,39.12000000,39.27000000,39.03000000,39.23000000,234889.00000000,1660003199999,9194887.57000000,2520,113981.00000000,4462225.66000000,0
2022-08-09,39.23000000,39.58000000,39.12000000,39.53000000,260239.00000000,1660089599999,10259453.46000000,2315,123918.00000000,4885448.53000000,0
2022-08-10,39.52000000,39.55000000,39.20000000,39.20000000,366497.00000000,1660175999999,14436665.79000000,2300,152427.00000000,6008824.98000000,0
2022-08-11,39.20000000,39.41000000,39.15000000,39.30000000,366925.00000000,1660262399999,14411266.51000000,2276,148694.00000000,5840024.71000000,0
2022-08-12,39.28000000,39.37000000,39.25000000,39.30000000,258549.00000000,1660348799999,10161005.63000000,1707,105650.00000000,4152865.00000000,0
2022-08-13,39.30000000,39.43000000,39.20000000,39.36000000,329256.00000000,1660435199999,12938271.25000000,1947,115033.00000000,4522518.54000000,0
2022-08-14,39.36000000,39.45000000,39.30000000,39.41000000,377469.00000000,1660521599999,14863831.01000000,1949,114844.00000000,4523107.48000000,0
2022-08-15,39.40000000,39.50000000,39.26000000,39.50000000,263681.00000000,1660607999999,10389668.17000000,1920,112311.00000000,4427130.97000000,0
2022-08-16,39.50000000,39.69000000,39.38000000,39.47000000,244249.00000000,1660694399999,9651531.81000000,1957,104227.00000000,4118299.81000000,0
2022-08-17,39.45000000,39.69000000,39.41000000,39.67000000,229373.00000000,1660780799999,9069917.38000000,1722,92407.00000000,3653984.02000000,0
2022-08-18,39.68000000,39.69000000,39.45000000,39.53000000,258815.00000000,1660867199999,10242197.57000000,1861,115039.00000000,4552666.25000000,0
2022-08-19,39.53000000,40.25000000,39.53000000,39.97000000,548618.00000000,1660953599999,21844386.98000000,4106,213644.00000000,8507412.48000000,0
2022-08-20,39.96000000,40.00000000,39.52000000,39.77000000,365390.00000000,1661039999999,14543409.10000000,3101,140449.00000000,5593023.47000000,0
2022-08-21,39.78000000,39.81000000,39.52000000,39.70000000,163495.00000000,1661126399999,6487061.26000000,1954,73094.00000000,2900954.73000000,0
2022-08-22,39.70000000,39.88000000,39.46000000,39.74000000,261320.00000000,1661212799999,10353771.81000000,2364,122737.00000000,4864970.16000000,0
2022-08-23,39.77000000,39.81000000,39.60000000,39.80000000,253969.00000000,1661299199999,10088918.01000000,1719,115969.00000000,4608050.01000000,0
2022-08-24,39.80000000,39.82000000,39.55000000,39.69000000,185955.00000000,1661385599999,7377462.36000000,1487,73211.00000000,2905303.73000000,0
2022-08-25,39.69000000,39.74000000,39.40000000,39.63000000,172783.00000000,1661471999999,6836802.62000000,1366,80166.00000000,3173068.98000000,0
2022-08-26,39.66000000,39.68000000,39.18000000,39.66000000,439588.00000000,1661558399999,17343279.15000000,3409,147689.00000000,5828853.54000000,0
2022-08-27,39.66000000,39.68000000,39.45000000,39.58000000,233612.00000000,1661644799999,9240419.43000000,2009,102586.00000000,4059248.08000000,0
2022-08-28,39.57000000,39.60000000,39.30000000,39.41000000,202108.00000000,1661731199999,7970478.48000000,1655,74701.00000000,2947048.56000000,0
2022-08-29,39.41000000,39.63000000,39.35000000,39.60000000,379876.00000000,1661817599999,14990117.84000000,1697,99005.00000000,3908518.28000000,0
2022-08-30,39.61000000,39.70000000,39.38000000,39.60000000,371533.00000000,1661903999999,14696426.32000000,2284,138841.00000000,5494644.72000000,0
2022-08-31,39.64000000,39.66000000,39.41000000,39.49000000,216464.00000000,1661990399999,8554234.60000000,2101,112225.00000000,4435561.68000000,0
